,movie_name,movie_year,movie_runtime,imdb_ratings,number_votes,us_gross_millions,directors,cast,movie_description
0,Title : The Dark Knight,Year : 2008,Run time : 152,IMDB rating : 9.0,Votes : 2794638,Revenue USD : 534.86,Director : Christopher Nolan,"Cast : Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine","Summary : When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
1,Title : The Lord of the Rings: The Return of the King,Year : 2003,Run time : 201,IMDB rating : 9.0,Votes : 1926112,Revenue USD : 377.85,Director : Peter Jackson,"Cast : Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom",Summary : Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
2,Title : Inception,Year : 2010,Run time : 148,IMDB rating : 8.8,Votes : 2480407,Revenue USD : 292.58,Director : Christopher Nolan,"Cast : Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe","Summary : A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
3,Title : The Lord of the Rings: The Fellowship of the Ring,Year : 2001,Run time : 178,IMDB rating : 8.8,Votes : 1953681,Revenue USD : 315.54,Director : Peter Jackson,"Cast : Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean",Summary : A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
4,Title : The Lord of the Rings: The Two Towers,Year : 2002,Run time : 179,IMDB rating : 8.8,Votes : 1737331,Revenue USD : 342.55,Director : Peter Jackson,"Cast : Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom","Summary : While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
5,Title : Spider-Man: Across the Spider-Verse,Year : 2023,Run time : 140,IMDB rating : 8.7,Votes : 282252,Revenue USD : ,"Director : Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","Cast : Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez","Summary : Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero."
6,Title : The Matrix,Year : 1999,Run time : 136,IMDB rating : 8.7,Votes : 1999957,Revenue USD : 171.48,"Director : Lana Wachowski, Lilly Wachowski","Cast : Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving","Summary : When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
7,Title : Star Wars: Episode V - The Empire Strikes Back,Year : 1980,Run time : 124,IMDB rating : 8.7,Votes : 1347971,Revenue USD : 290.48,Director : Irvin Kershner,"Cast : Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams","Summary : After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
8,Title : Soorarai Pottru,Year : 2020,Run time : 153,IMDB rating : 8.7,Votes : 121374,Revenue USD : ,Director : Sudha Kongara,"Cast : Suriya, Paresh Rawal, Aparna Balamurali, Urvashi","Summary : Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way."
9,Title : Star Wars: Episode IV - A New Hope,Year : 1977,Run time : 121,IMDB rating : 8.6,Votes : 1419263,Revenue USD : 322.74,Director : George Lucas,"Cast : Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness","Summary : Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
10,Title : Terminator 2: Judgment Day,Year : 1991,Run time : 137,IMDB rating : 8.6,Votes : 1146769,Revenue USD : 204.84,Director : James Cameron,"Cast : Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick","Summary : A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg."
11,Title : Seven Samurai,Year : 1954,Run time : 207,IMDB rating : 8.6,Votes : 359475,Revenue USD : 0.27,Director : Akira Kurosawa,"Cast : Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki","Summary : Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him."
