,movie_name,movie_year,movie_runtime,imdb_ratings,number_votes,us_gross_millions,directors,cast,movie_description
0,Title : The Lord of the Rings: The Return of the King,Year : 2003,Run time : 201,IMDB rating : 9.0,Votes : 1926112,Revenue USD : 377.85,Director : Peter Jackson,"Cast : Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom",Summary : Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
1,Title : Inception,Year : 2010,Run time : 148,IMDB rating : 8.8,Votes : 2480407,Revenue USD : 292.58,Director : Christopher Nolan,"Cast : Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe","Summary : A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
2,Title : The Lord of the Rings: The Fellowship of the Ring,Year : 2001,Run time : 178,IMDB rating : 8.8,Votes : 1953681,Revenue USD : 315.54,Director : Peter Jackson,"Cast : Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean",Summary : A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
3,Title : The Lord of the Rings: The Two Towers,Year : 2002,Run time : 179,IMDB rating : 8.8,Votes : 1737331,Revenue USD : 342.55,Director : Peter Jackson,"Cast : Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom","Summary : While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
4,"Title : The Good, the Bad and the Ugly",Year : 1966,Run time : 178,IMDB rating : 8.8,Votes : 792823,Revenue USD : 6.1,Director : Sergio Leone,"Cast : Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè",Summary : A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
5,Title : 777 Charlie,Year : 2022,Run time : 164,IMDB rating : 8.8,Votes : 37257,Revenue USD : ,Director : Kiranraj K,"Cast : Rakshit Shetty, Charlie, Sangeetha Sringeri, Raj B. Shetty",Summary : Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.
6,Title : Spider-Man: Across the Spider-Verse,Year : 2023,Run time : 140,IMDB rating : 8.7,Votes : 282252,Revenue USD : ,"Director : Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","Cast : Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez","Summary : Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero."
7,Title : Interstellar,Year : 2014,Run time : 169,IMDB rating : 8.7,Votes : 2004599,Revenue USD : 188.02,Director : Christopher Nolan,"Cast : Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy","Summary : When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
8,Title : Star Wars: Episode V - The Empire Strikes Back,Year : 1980,Run time : 124,IMDB rating : 8.7,Votes : 1347971,Revenue USD : 290.48,Director : Irvin Kershner,"Cast : Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams","Summary : After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
9,Title : Star Wars: Episode IV - A New Hope,Year : 1977,Run time : 121,IMDB rating : 8.6,Votes : 1419263,Revenue USD : 322.74,Director : George Lucas,"Cast : Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness","Summary : Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
10,Title : Spirited Away,Year : 2001,Run time : 125,IMDB rating : 8.6,Votes : 815337,Revenue USD : 10.06,Director : Hayao Miyazaki,"Cast : Daveigh Chase, Suzanne Pleshette, Miyu Irino, Rumi Hiiragi","Summary : During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts."
11,Title : Gladiator,Year : 2000,Run time : 155,IMDB rating : 8.5,Votes : 1571308,Revenue USD : 187.71,Director : Ridley Scott,"Cast : Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",Summary : A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
12,Title : Back to the Future,Year : 1985,Run time : 116,IMDB rating : 8.5,Votes : 1270201,Revenue USD : 210.61,Director : Robert Zemeckis,"Cast : Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover","Summary : Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
