,movie_name,movie_year,movie_runtime,imdb_ratings,number_votes,us_gross_millions,directors,cast,movie_description
0,Title : Spider-Man: Across the Spider-Verse,Year : 2023,Run time : 140,IMDB rating : 8.7,Votes : 282252,Revenue USD : ,"Director : Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","Cast : Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez","Summary : Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero."
1,Title : Spirited Away,Year : 2001,Run time : 125,IMDB rating : 8.6,Votes : 815337,Revenue USD : 10.06,Director : Hayao Miyazaki,"Cast : Daveigh Chase, Suzanne Pleshette, Miyu Irino, Rumi Hiiragi","Summary : During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts."
2,Title : The Lion King,Year : 1994,Run time : 88,IMDB rating : 8.5,Votes : 1111483,Revenue USD : 422.78,"Director : Roger Allers, Rob Minkoff","Cast : Matthew Broderick, Jeremy Irons, James Earl Jones, Whoopi Goldberg","Summary : Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
3,Title : Grave of the Fireflies,Year : 1988,Run time : 89,IMDB rating : 8.5,Votes : 297886,Revenue USD : ,Director : Isao Takahata,"Cast : Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi, Yoshiko Shinohara",Summary : A young boy and his little sister struggle to survive in Japan during World War II.
4,Title : Spider-Man: Into the Spider-Verse,Year : 2018,Run time : 117,IMDB rating : 8.4,Votes : 636019,Revenue USD : 190.24,"Director : Bob Persichetti, Peter Ramsey, Rodney Rothman","Cast : Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali",Summary : Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.
5,Title : Coco,Year : 2017,Run time : 105,IMDB rating : 8.4,Votes : 560420,Revenue USD : 209.73,"Director : Lee Unkrich, Adrian Molina","Cast : Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach","Summary : Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
6,Title : Your Name.,Year : 2016,Run time : 106,IMDB rating : 8.4,Votes : 302020,Revenue USD : 5.02,Director : Makoto Shinkai,"Cast : Ryunosuke Kamiki, Mone Kamishiraishi, Ryo Narita, Aoi Yûki","Summary : Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person."
7,Title : WALL·E,Year : 2008,Run time : 98,IMDB rating : 8.4,Votes : 1169574,Revenue USD : 223.81,Director : Andrew Stanton,"Cast : Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard","Summary : In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
8,Title : Toy Story,Year : 1995,Run time : 81,IMDB rating : 8.3,Votes : 1042305,Revenue USD : 191.8,Director : John Lasseter,"Cast : Tom Hanks, Tim Allen, Don Rickles, Jim Varney",Summary : A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.
9,Title : Up,Year : 2009,Run time : 96,IMDB rating : 8.3,Votes : 1095608,Revenue USD : 293.0,"Director : Pete Docter, Bob Peterson","Cast : Edward Asner, Jordan Nagai, John Ratzenberger, Christopher Plummer","Summary : 78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
10,Title : Princess Mononoke,Year : 1997,Run time : 134,IMDB rating : 8.3,Votes : 418200,Revenue USD : 2.38,Director : Hayao Miyazaki,"Cast : Yôji Matsuda, Yuriko Ishida, Yûko Tanaka, Billy Crudup","Summary : On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
11,Title : Toy Story 3,Year : 2010,Run time : 103,IMDB rating : 8.3,Votes : 873232,Revenue USD : 415.0,Director : Lee Unkrich,"Cast : Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty","Summary : The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
12,Title : Howl's Moving Castle,Year : 2004,Run time : 119,IMDB rating : 8.2,Votes : 427650,Revenue USD : 4.71,Director : Hayao Miyazaki,"Cast : Chieko Baishô, Takuya Kimura, Tatsuya Gashûin, Akihiro Miwa","Summary : When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
13,Title : Finding Nemo,Year : 2003,Run time : 100,IMDB rating : 8.2,Votes : 1087998,Revenue USD : 380.84,"Director : Andrew Stanton, Lee Unkrich","Cast : Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe","Summary : After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
14,Title : Klaus,Year : 2019,Run time : 96,IMDB rating : 8.2,Votes : 173035,Revenue USD : ,"Director : Sergio Pablos, Carlos Martínez López","Cast : Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso","Summary : A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
15,Title : Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,Year : 2020,Run time : 117,IMDB rating : 8.2,Votes : 68633,Revenue USD : 47.7,Director : Haruo Sotozaki,"Cast : Natsuki Hanae, Akari Kitô, Yoshitsugu Matsuoka, Hiro Shimono","Summary : After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair."
16,Title : Ratatouille,Year : 2007,Run time : 111,IMDB rating : 8.1,Votes : 793472,Revenue USD : 206.45,"Director : Brad Bird, Jan Pinkava","Cast : Brad Garrett, Lou Romano, Patton Oswalt, Ian Holm",Summary : A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.
17,Title : Inside Out,Year : 2015,Run time : 95,IMDB rating : 8.1,Votes : 758315,Revenue USD : 356.46,"Director : Pete Docter, Ronnie Del Carmen","Cast : Amy Poehler, Bill Hader, Lewis Black, Mindy Kaling","Summary : After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust, and Sadness - conflict on how best to navigate a new city, house, and school."
18,"Title : Monsters, Inc.",Year : 2001,Run time : 92,IMDB rating : 8.1,Votes : 953966,Revenue USD : 289.92,"Director : Pete Docter, David Silverman, Lee Unkrich","Cast : Billy Crystal, John Goodman, Mary Gibbs, Steve Buscemi","Summary : In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think."
19,Title : How to Train Your Dragon,Year : 2010,Run time : 98,IMDB rating : 8.1,Votes : 779160,Revenue USD : 217.58,"Director : Dean DeBlois, Chris Sanders","Cast : Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse, Craig Ferguson","Summary : A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
20,Title : My Neighbor Totoro,Year : 1988,Run time : 86,IMDB rating : 8.1,Votes : 364173,Revenue USD : 1.11,Director : Hayao Miyazaki,"Cast : Hitoshi Takagi, Noriko Hidaka, Chika Sakamoto, Shigesato Itoi","Summary : When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
21,Title : The Iron Giant,Year : 1999,Run time : 86,IMDB rating : 8.1,Votes : 217735,Revenue USD : 23.16,Director : Brad Bird,"Cast : Eli Marienthal, Harry Connick Jr., Jennifer Aniston, Vin Diesel",Summary : A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.
22,Title : A Silent Voice: The Movie,Year : 2016,Run time : 130,IMDB rating : 8.1,Votes : 94718,Revenue USD : ,Director : Naoko Yamada,"Cast : Miyu Irino, Saori Hayami, Aoi Yûki, Kenshô Ono","Summary : A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption."
23,Title : Neon Genesis Evangelion: The End of Evangelion,Year : 1997,Run time : 87,IMDB rating : 8.1,Votes : 61088,Revenue USD : ,"Director : Hideaki Anno, Kazuya Tsurumaki","Cast : Megumi Ogata, Megumi Hayashibara, Yûko Miyamura, Kotono Mitsuishi",Summary : Concurrent theatrical ending of the TV series Neon Genesis Evangelion (1995).
24,Title : Mary and Max,Year : 2009,Run time : 92,IMDB rating : 8.1,Votes : 183679,Revenue USD : ,Director : Adam Elliot,"Cast : Toni Collette, Philip Seymour Hoffman, Eric Bana, Barry Humphries","Summary : A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York."
25,Title : Wolf Children,Year : 2012,Run time : 117,IMDB rating : 8.1,Votes : 47987,Revenue USD : ,Director : Mamoru Hosoda,"Cast : Aoi Miyazaki, Takao Osawa, Haru Kuroki, Yukito Nishii","Summary : After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society."
26,Title : The Incredibles,Year : 2004,Run time : 115,IMDB rating : 8.0,Votes : 783349,Revenue USD : 261.44,Director : Brad Bird,"Cast : Craig T. Nelson, Samuel L. Jackson, Holly Hunter, Jason Lee","Summary : While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world."
27,Title : Zootopia,Year : 2016,Run time : 108,IMDB rating : 8.0,Votes : 529535,Revenue USD : 341.27,"Director : Byron Howard, Rich Moore, Jared Bush","Cast : Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate","Summary : In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
28,Title : Aladdin,Year : 1992,Run time : 90,IMDB rating : 8.0,Votes : 451442,Revenue USD : 217.35,"Director : Ron Clements, John Musker","Cast : Scott Weinger, Robin Williams, Linda Larkin, Jonathan Freeman",Summary : A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
29,Title : Beauty and the Beast,Year : 1991,Run time : 84,IMDB rating : 8.0,Votes : 471762,Revenue USD : 218.97,"Director : Gary Trousdale, Kirk Wise","Cast : Paige O'Hara, Robby Benson, Jesse Corti, Rex Everhart",Summary : A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.
30,Title : Soul,Year : 2020,Run time : 100,IMDB rating : 8.0,Votes : 360286,Revenue USD : ,"Director : Pete Docter, Kemp Powers","Cast : Jamie Foxx, Tina Fey, Graham Norton, Rachel House","Summary : After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife."
31,Title : Perfect Blue,Year : 1997,Run time : 81,IMDB rating : 8.0,Votes : 89018,Revenue USD : 0.78,Director : Satoshi Kon,"Cast : Junko Iwao, Rica Matsumoto, Shinpachi Tsuji, Masaaki Ôkura","Summary : A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past."
32,Title : Akira,Year : 1988,Run time : 124,IMDB rating : 8.0,Votes : 198736,Revenue USD : 0.55,Director : Katsuhiro Ôtomo,"Cast : Mitsuo Iwata, Nozomu Sasaki, Mami Koyama, Tesshô Genda","Summary : A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics."
33,Title : Castle in the Sky,Year : 1986,Run time : 125,IMDB rating : 8.0,Votes : 175947,Revenue USD : ,Director : Hayao Miyazaki,"Cast : Mayumi Tanaka, Keiko Yokozawa, Kotoe Hatsui, Minori Terada",Summary : A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.
34,Title : Nausicaä of the Valley of the Wind,Year : 1984,Run time : 117,IMDB rating : 8.0,Votes : 177437,Revenue USD : 0.5,Director : Hayao Miyazaki,"Cast : Sumi Shimamoto, Mahito Tsujimura, Hisako Kyôda, Gorô Naya",Summary : Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.
35,Title : Wolfwalkers,Year : 2020,Run time : 103,IMDB rating : 8.0,Votes : 36868,Revenue USD : ,"Director : Tomm Moore, Ross Stewart","Cast : Honor Kneafsey, Eva Whittaker, Sean Bean, Simon McBurney",Summary : A young apprentice hunter and her father journey to Ireland to help wipe out the last wolf pack. But everything changes when she befriends a free-spirited girl from a mysterious tribe rumored to transform into wolves by night.
36,Title : Persepolis,Year : 2007,Run time : 96,IMDB rating : 8.0,Votes : 98453,Revenue USD : 4.45,"Director : Vincent Paronnaud, Marjane Satrapi","Cast : Chiara Mastroianni, Catherine Deneuve, Gena Rowlands, Danielle Darrieux",Summary : A precocious and outspoken Iranian girl grows up during the Islamic Revolution.
