,movie_name,movie_year,movie_runtime,imdb_ratings,number_votes,us_gross_millions,directors,cast,movie_description
0,Title : Schindler's List,Year : 1993,Run time : 195,IMDB rating : 9.0,Votes : 1414098,Revenue USD : 96.9,Director : Steven Spielberg,"Cast : Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall","Summary : In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
1,Title : Goodfellas,Year : 1990,Run time : 145,IMDB rating : 8.7,Votes : 1221601,Revenue USD : 46.84,Director : Martin Scorsese,"Cast : Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco","Summary : The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
2,Title : Rocketry: The Nambi Effect,Year : 2022,Run time : 157,IMDB rating : 8.7,Votes : 55859,Revenue USD : ,Director : Madhavan,"Cast : Madhavan, Simran, Rajit Kapoor, Ravi Raghavendra","Summary : Based on the life of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994. Though free, he continues to fight for justice against the officials who falsely implicated him."
3,Title : Oppenheimer,Year : 2023,Run time : 180,IMDB rating : 8.5,Votes : 468997,Revenue USD : ,Director : Christopher Nolan,"Cast : Cillian Murphy, Emily Blunt, Matt Damon, Robert Downey Jr.","Summary : The story of American scientist, J. Robert Oppenheimer, and his role in the development of the atomic bomb."
4,Title : The Intouchables,Year : 2011,Run time : 112,IMDB rating : 8.5,Votes : 903001,Revenue USD : 13.18,"Director : Olivier Nakache, Éric Toledano","Cast : François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot","Summary : After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
5,Title : The Pianist,Year : 2002,Run time : 150,IMDB rating : 8.5,Votes : 883372,Revenue USD : 32.57,Director : Roman Polanski,"Cast : Adrien Brody, Thomas Kretschmann, Frank Finlay, Emilia Fox",Summary : A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
6,Title : Amadeus,Year : 1984,Run time : 160,IMDB rating : 8.4,Votes : 418911,Revenue USD : 51.97,Director : Milos Forman,"Cast : F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice","Summary : The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him."
7,Title : Sardar Udham,Year : 2021,Run time : 164,IMDB rating : 8.4,Votes : 45462,Revenue USD : ,Director : Shoojit Sircar,"Cast : Vicky Kaushal, Shaun Scott, Stephen Hogan, Amol Parashar","Summary : A biopic detailing the 2 decades that Punjabi Sikh revolutionary, Udham Singh, spent planning the assassination of the man responsible for the Jallianwala Bagh massacre."
8,Title : Braveheart,Year : 1995,Run time : 178,IMDB rating : 8.3,Votes : 1071968,Revenue USD : 75.6,Director : Mel Gibson,"Cast : Mel Gibson, Sophie Marceau, Patrick McGoohan, Angus Macfadyen",Summary : Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
9,Title : Hamilton,Year : 2020,Run time : 160,IMDB rating : 8.3,Votes : 107262,Revenue USD : ,Director : Thomas Kail,"Cast : Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr., Renée Elise Goldsberry","Summary : The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
