,movie_name,movie_year,movie_runtime,imdb_ratings,number_votes,us_gross_millions,directors,cast,movie_description
0,Title : The Chaos Class,Year : 1975,Run time : 87,IMDB rating : 9.2,Votes : 42294,Revenue USD : ,Director : Ertem Egilmez,"Cast : Kemal Sunal, Münir Özkul, Halit Akçatepe, Tarik Akan","Summary : Lazy, uneducated students share a very close bond. They live together in the dormitory, where they plan their latest pranks. When a new headmaster arrives, the students naturally try to overthrow him. A comic war of nitwits follows."
1,Title : 777 Charlie,Year : 2022,Run time : 164,IMDB rating : 8.8,Votes : 37257,Revenue USD : ,Director : Kiranraj K,"Cast : Rakshit Shetty, Charlie, Sangeetha Sringeri, Raj B. Shetty",Summary : Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.
2,Title : Life Is Beautiful,Year : 1997,Run time : 116,IMDB rating : 8.6,Votes : 725846,Revenue USD : 57.6,Director : Roberto Benigni,"Cast : Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano","Summary : When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp."
3,Title : Back to the Future,Year : 1985,Run time : 116,IMDB rating : 8.5,Votes : 1270201,Revenue USD : 210.61,Director : Robert Zemeckis,"Cast : Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover","Summary : Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
4,Title : The Intouchables,Year : 2011,Run time : 112,IMDB rating : 8.5,Votes : 903001,Revenue USD : 13.18,"Director : Olivier Nakache, Éric Toledano","Cast : François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot","Summary : After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
5,Title : Modern Times,Year : 1936,Run time : 87,IMDB rating : 8.5,Votes : 253726,Revenue USD : 0.16,Director : Charles Chaplin,"Cast : Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford",Summary : The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
6,Title : City Lights,Year : 1931,Run time : 87,IMDB rating : 8.5,Votes : 192149,Revenue USD : 0.02,Director : Charles Chaplin,"Cast : Charles Chaplin, Virginia Cherrill, Florence Lee, Harry Myers","Summary : With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
7,Title : Spider-Man: Into the Spider-Verse,Year : 2018,Run time : 117,IMDB rating : 8.4,Votes : 636019,Revenue USD : 190.24,"Director : Bob Persichetti, Peter Ramsey, Rodney Rothman","Cast : Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali",Summary : Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.
8,Title : 3 Idiots,Year : 2009,Run time : 170,IMDB rating : 8.4,Votes : 420379,Revenue USD : 6.53,Director : Rajkumar Hirani,"Cast : Aamir Khan, Madhavan, Mona Singh, Sharman Joshi","Summary : Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
9,Title : Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Year : 1964,Run time : 95,IMDB rating : 8.4,Votes : 508432,Revenue USD : 0.28,Director : Stanley Kubrick,"Cast : Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn","Summary : An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
