,movie_name,movie_year,movie_runtime,imdb_ratings,number_votes,us_gross_millions,directors,cast,movie_description
0,Title : The Godfather,Year : 1972,Run time : 175,IMDB rating : 9.2,Votes : 1960432,Revenue USD : 134.97,Director : Francis Ford Coppola,"Cast : Marlon Brando, Al Pacino, James Caan, Diane Keaton","Summary : Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger."
1,Title : The Dark Knight,Year : 2008,Run time : 152,IMDB rating : 9.0,Votes : 2794638,Revenue USD : 534.86,Director : Christopher Nolan,"Cast : Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine","Summary : When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
2,Title : 12 Angry Men,Year : 1957,Run time : 96,IMDB rating : 9.0,Votes : 837812,Revenue USD : 4.36,Director : Sidney Lumet,"Cast : Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler",Summary : The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
3,Title : The Godfather Part II,Year : 1974,Run time : 202,IMDB rating : 9.0,Votes : 1331095,Revenue USD : 57.3,Director : Francis Ford Coppola,"Cast : Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton","Summary : The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
4,Title : Mirror Game,Year : 2016,Run time : 147,IMDB rating : 9.0,Votes : 29169,Revenue USD : ,Director : Amitabh Reza Chowdhury,"Cast : Chanchal Chowdhury, Masuma Rahman Nabila, Partha Barua, Lutfur Rahman George","Summary : A struggling actor becomes a professional impostor, hired to impersonate people for financial gain, but as he delves deeper into his work he becomes embroiled in trouble that threatens to unravel his life."
5,Title : Pulp Fiction,Year : 1994,Run time : 154,IMDB rating : 8.9,Votes : 2157265,Revenue USD : 107.93,Director : Quentin Tarantino,"Cast : John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis","Summary : The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
6,Title : Jai Bhim,Year : 2021,Run time : 164,IMDB rating : 8.8,Votes : 211607,Revenue USD : ,Director : T.J. Gnanavel,"Cast : Suriya, Lijo Mol Jose, Manikandan K., Rajisha Vijayan","Summary : When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
7,Title : Goodfellas,Year : 1990,Run time : 145,IMDB rating : 8.7,Votes : 1221601,Revenue USD : 46.84,Director : Martin Scorsese,"Cast : Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco","Summary : The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
8,Title : The Silence of the Lambs,Year : 1991,Run time : 118,IMDB rating : 8.6,Votes : 1503091,Revenue USD : 130.74,Director : Jonathan Demme,"Cast : Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine","Summary : A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
9,Title : Se7en,Year : 1995,Run time : 127,IMDB rating : 8.6,Votes : 1743768,Revenue USD : 100.13,Director : David Fincher,"Cast : Morgan Freeman, Brad Pitt, Kevin Spacey, Andrew Kevin Walker","Summary : Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
