,movie_name,movie_year,movie_runtime,imdb_ratings,number_votes,us_gross_millions,directors,cast,movie_description
0,Title : The Shawshank Redemption,Year : 1994,Run time : 142,IMDB rating : 9.3,Votes : 2812966,Revenue USD : 28.34,Director : Frank Darabont,"Cast : Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler","Summary : Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion."
1,Title : The Godfather,Year : 1972,Run time : 175,IMDB rating : 9.2,Votes : 1960432,Revenue USD : 134.97,Director : Francis Ford Coppola,"Cast : Marlon Brando, Al Pacino, James Caan, Diane Keaton","Summary : Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger."
2,Title : The Chaos Class,Year : 1975,Run time : 87,IMDB rating : 9.2,Votes : 42294,Revenue USD : ,Director : Ertem Egilmez,"Cast : Kemal Sunal, Münir Özkul, Halit Akçatepe, Tarik Akan","Summary : Lazy, uneducated students share a very close bond. They live together in the dormitory, where they plan their latest pranks. When a new headmaster arrives, the students naturally try to overthrow him. A comic war of nitwits follows."
3,Title : The Dark Knight,Year : 2008,Run time : 152,IMDB rating : 9.0,Votes : 2794638,Revenue USD : 534.86,Director : Christopher Nolan,"Cast : Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine","Summary : When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
4,Title : Schindler's List,Year : 1993,Run time : 195,IMDB rating : 9.0,Votes : 1414098,Revenue USD : 96.9,Director : Steven Spielberg,"Cast : Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall","Summary : In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
5,Title : The Lord of the Rings: The Return of the King,Year : 2003,Run time : 201,IMDB rating : 9.0,Votes : 1926112,Revenue USD : 377.85,Director : Peter Jackson,"Cast : Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom",Summary : Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
6,Title : 12 Angry Men,Year : 1957,Run time : 96,IMDB rating : 9.0,Votes : 837812,Revenue USD : 4.36,Director : Sidney Lumet,"Cast : Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler",Summary : The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
7,Title : The Godfather Part II,Year : 1974,Run time : 202,IMDB rating : 9.0,Votes : 1331095,Revenue USD : 57.3,Director : Francis Ford Coppola,"Cast : Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton","Summary : The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
8,Title : Pulp Fiction,Year : 1994,Run time : 154,IMDB rating : 8.9,Votes : 2157265,Revenue USD : 107.93,Director : Quentin Tarantino,"Cast : John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis","Summary : The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
9,Title : Fight Club,Year : 1999,Run time : 139,IMDB rating : 8.8,Votes : 2247689,Revenue USD : 37.03,Director : David Fincher,"Cast : Brad Pitt, Edward Norton, Meat Loaf, Zach Grenier",Summary : An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
