,movie_name,movie_year,movie_runtime,imdb_ratings,number_votes,us_gross_millions,directors,cast,movie_description
0,Title : Spider-Man: Across the Spider-Verse,Year : 2023,Run time : 140,IMDB rating : 8.7,Votes : 282252,Revenue USD : ,"Director : Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","Cast : Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez","Summary : Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero."
1,Title : Spirited Away,Year : 2001,Run time : 125,IMDB rating : 8.6,Votes : 815337,Revenue USD : 10.06,Director : Hayao Miyazaki,"Cast : Daveigh Chase, Suzanne Pleshette, Miyu Irino, Rumi Hiiragi","Summary : During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts."
2,Title : It's a Wonderful Life,Year : 1946,Run time : 130,IMDB rating : 8.6,Votes : 481077,Revenue USD : ,Director : Frank Capra,"Cast : James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell",Summary : An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
3,Title : The Lion King,Year : 1994,Run time : 88,IMDB rating : 8.5,Votes : 1111483,Revenue USD : 422.78,"Director : Roger Allers, Rob Minkoff","Cast : Matthew Broderick, Jeremy Irons, James Earl Jones, Whoopi Goldberg","Summary : Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
4,Title : Spider-Man: Into the Spider-Verse,Year : 2018,Run time : 117,IMDB rating : 8.4,Votes : 636019,Revenue USD : 190.24,"Director : Bob Persichetti, Peter Ramsey, Rodney Rothman","Cast : Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali",Summary : Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.
5,Title : Coco,Year : 2017,Run time : 105,IMDB rating : 8.4,Votes : 560420,Revenue USD : 209.73,"Director : Lee Unkrich, Adrian Molina","Cast : Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach","Summary : Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
6,Title : WALL·E,Year : 2008,Run time : 98,IMDB rating : 8.4,Votes : 1169574,Revenue USD : 223.81,Director : Andrew Stanton,"Cast : Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard","Summary : In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
7,Title : Toy Story,Year : 1995,Run time : 81,IMDB rating : 8.3,Votes : 1042305,Revenue USD : 191.8,Director : John Lasseter,"Cast : Tom Hanks, Tim Allen, Don Rickles, Jim Varney",Summary : A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.
8,Title : Up,Year : 2009,Run time : 96,IMDB rating : 8.3,Votes : 1095608,Revenue USD : 293.0,"Director : Pete Docter, Bob Peterson","Cast : Edward Asner, Jordan Nagai, John Ratzenberger, Christopher Plummer","Summary : 78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
9,Title : Toy Story 3,Year : 2010,Run time : 103,IMDB rating : 8.3,Votes : 873232,Revenue USD : 415.0,Director : Lee Unkrich,"Cast : Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty","Summary : The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
10,Title : Like Stars on Earth,Year : 2007,Run time : 162,IMDB rating : 8.3,Votes : 202340,Revenue USD : 1.22,"Director : Aamir Khan, Amole Gupte","Cast : Darsheel Safary, Aamir Khan, Tanay Chheda, Sachet Engineer","Summary : An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
11,Title : Howl's Moving Castle,Year : 2004,Run time : 119,IMDB rating : 8.2,Votes : 427650,Revenue USD : 4.71,Director : Hayao Miyazaki,"Cast : Chieko Baishô, Takuya Kimura, Tatsuya Gashûin, Akihiro Miwa","Summary : When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
12,Title : Finding Nemo,Year : 2003,Run time : 100,IMDB rating : 8.2,Votes : 1087998,Revenue USD : 380.84,"Director : Andrew Stanton, Lee Unkrich","Cast : Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe","Summary : After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
13,Title : Klaus,Year : 2019,Run time : 96,IMDB rating : 8.2,Votes : 173035,Revenue USD : ,"Director : Sergio Pablos, Carlos Martínez López","Cast : Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso","Summary : A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
14,Title : Children of Heaven,Year : 1997,Run time : 89,IMDB rating : 8.2,Votes : 78634,Revenue USD : 0.93,Director : Majid Majidi,"Cast : Mohammad Amir Naji, Amir Farrokh Hashemian, Bahare Seddiqi, Nafise Jafar-Mohammadi","Summary : After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
15,Title : The Kid,Year : 1921,Run time : 68,IMDB rating : 8.2,Votes : 132049,Revenue USD : 5.45,Director : Charles Chaplin,"Cast : Charles Chaplin, Edna Purviance, Jackie Coogan, Carl Miller","Summary : The Tramp cares for an abandoned child, but events put their relationship in jeopardy."
16,Title : My Father and My Son,Year : 2005,Run time : 112,IMDB rating : 8.2,Votes : 90249,Revenue USD : ,Director : Çagan Irmak,"Cast : Çetin Tekindor, Fikret Kuskan, Hümeyra, Ege Tanman",Summary : The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.
17,Title : Harry Potter and the Deathly Hallows: Part 2,Year : 2011,Run time : 130,IMDB rating : 8.1,Votes : 921942,Revenue USD : 381.01,Director : David Yates,"Cast : Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon","Summary : Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
18,Title : Ratatouille,Year : 2007,Run time : 111,IMDB rating : 8.1,Votes : 793472,Revenue USD : 206.45,"Director : Brad Bird, Jan Pinkava","Cast : Brad Garrett, Lou Romano, Patton Oswalt, Ian Holm",Summary : A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.
19,Title : The Wizard of Oz,Year : 1939,Run time : 102,IMDB rating : 8.1,Votes : 418383,Revenue USD : 2.08,"Director : Victor Fleming, King Vidor","Cast : Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr","Summary : Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes."
20,Title : Inside Out,Year : 2015,Run time : 95,IMDB rating : 8.1,Votes : 758315,Revenue USD : 356.46,"Director : Pete Docter, Ronnie Del Carmen","Cast : Amy Poehler, Bill Hader, Lewis Black, Mindy Kaling","Summary : After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust, and Sadness - conflict on how best to navigate a new city, house, and school."
21,"Title : Monsters, Inc.",Year : 2001,Run time : 92,IMDB rating : 8.1,Votes : 953966,Revenue USD : 289.92,"Director : Pete Docter, David Silverman, Lee Unkrich","Cast : Billy Crystal, John Goodman, Mary Gibbs, Steve Buscemi","Summary : In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think."
22,Title : The Sound of Music,Year : 1965,Run time : 172,IMDB rating : 8.1,Votes : 250709,Revenue USD : 163.21,Director : Robert Wise,"Cast : Julie Andrews, Christopher Plummer, Eleanor Parker, Richard Haydn",Summary : A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.
23,Title : How to Train Your Dragon,Year : 2010,Run time : 98,IMDB rating : 8.1,Votes : 779160,Revenue USD : 217.58,"Director : Dean DeBlois, Chris Sanders","Cast : Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse, Craig Ferguson","Summary : A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
24,Title : Hachi: A Dog's Tale,Year : 2009,Run time : 93,IMDB rating : 8.1,Votes : 302392,Revenue USD : ,Director : Lasse Hallström,"Cast : Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa, Sarah Roemer",Summary : A college professor bonds with an abandoned dog he takes into his home.
25,Title : My Neighbor Totoro,Year : 1988,Run time : 86,IMDB rating : 8.1,Votes : 364173,Revenue USD : 1.11,Director : Hayao Miyazaki,"Cast : Hitoshi Takagi, Noriko Hidaka, Chika Sakamoto, Shigesato Itoi","Summary : When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
26,Title : The Iron Giant,Year : 1999,Run time : 86,IMDB rating : 8.1,Votes : 217735,Revenue USD : 23.16,Director : Brad Bird,"Cast : Eli Marienthal, Harry Connick Jr., Jennifer Aniston, Vin Diesel",Summary : A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.
27,Title : Wolf Children,Year : 2012,Run time : 117,IMDB rating : 8.1,Votes : 47987,Revenue USD : ,Director : Mamoru Hosoda,"Cast : Aoi Miyazaki, Takao Osawa, Haru Kuroki, Yukito Nishii","Summary : After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society."
28,Title : Chak De! India,Year : 2007,Run time : 153,IMDB rating : 8.1,Votes : 83472,Revenue USD : 1.11,Director : Shimit Amin,"Cast : Shah Rukh Khan, Vidya Malvade, Sagarika Ghatge, Shilpa Shukla","Summary : Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds."
29,Title : The Circus,Year : 1928,Run time : 72,IMDB rating : 8.1,Votes : 35381,Revenue USD : ,Director : Charles Chaplin,"Cast : Charles Chaplin, Merna Kennedy, Al Ernest Garcia, Harry Crocker",Summary : The Tramp finds work and the girl of his dreams at a circus.
30,Title : The Princess Bride,Year : 1987,Run time : 98,IMDB rating : 8.0,Votes : 442410,Revenue USD : 30.86,Director : Rob Reiner,"Cast : Cary Elwes, Mandy Patinkin, Robin Wright, Chris Sarandon","Summary : A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love."
31,Title : The Incredibles,Year : 2004,Run time : 115,IMDB rating : 8.0,Votes : 783349,Revenue USD : 261.44,Director : Brad Bird,"Cast : Craig T. Nelson, Samuel L. Jackson, Holly Hunter, Jason Lee","Summary : While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world."
32,Title : Zootopia,Year : 2016,Run time : 108,IMDB rating : 8.0,Votes : 529535,Revenue USD : 341.27,"Director : Byron Howard, Rich Moore, Jared Bush","Cast : Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate","Summary : In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
33,Title : Aladdin,Year : 1992,Run time : 90,IMDB rating : 8.0,Votes : 451442,Revenue USD : 217.35,"Director : Ron Clements, John Musker","Cast : Scott Weinger, Robin Williams, Linda Larkin, Jonathan Freeman",Summary : A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
34,Title : Beauty and the Beast,Year : 1991,Run time : 84,IMDB rating : 8.0,Votes : 471762,Revenue USD : 218.97,"Director : Gary Trousdale, Kirk Wise","Cast : Paige O'Hara, Robby Benson, Jesse Corti, Rex Everhart",Summary : A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.
35,Title : Soul,Year : 2020,Run time : 100,IMDB rating : 8.0,Votes : 360286,Revenue USD : ,"Director : Pete Docter, Kemp Powers","Cast : Jamie Foxx, Tina Fey, Graham Norton, Rachel House","Summary : After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife."
36,Title : Fiddler on the Roof,Year : 1971,Run time : 181,IMDB rating : 8.0,Votes : 46315,Revenue USD : 80.5,Director : Norman Jewison,"Cast : Topol, Norma Crane, Leonard Frey, Molly Picon","Summary : In pre-revolutionary Russia, a Jewish peasant with traditional values contends with marrying off three of his daughters with modern romantic ideals while growing anti-Semitic sentiment threatens his village."
37,Title : Castle in the Sky,Year : 1986,Run time : 125,IMDB rating : 8.0,Votes : 175947,Revenue USD : ,Director : Hayao Miyazaki,"Cast : Mayumi Tanaka, Keiko Yokozawa, Kotoe Hatsui, Minori Terada",Summary : A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.
