,movie_name,movie_year,movie_runtime,imdb_ratings,number_votes,us_gross_millions,directors,cast,movie_description
0,Title : The Lord of the Rings: The Return of the King,Year : 2003,Run time : 201,IMDB rating : 9.0,Votes : 1926112,Revenue USD : 377.85,Director : Peter Jackson,"Cast : Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom",Summary : Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
1,Title : The Lord of the Rings: The Fellowship of the Ring,Year : 2001,Run time : 178,IMDB rating : 8.8,Votes : 1953681,Revenue USD : 315.54,Director : Peter Jackson,"Cast : Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean",Summary : A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
2,Title : The Lord of the Rings: The Two Towers,Year : 2002,Run time : 179,IMDB rating : 8.8,Votes : 1737331,Revenue USD : 342.55,Director : Peter Jackson,"Cast : Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom","Summary : While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
3,Title : Spider-Man: Across the Spider-Verse,Year : 2023,Run time : 140,IMDB rating : 8.7,Votes : 282252,Revenue USD : ,"Director : Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","Cast : Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez","Summary : Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero."
4,Title : Star Wars: Episode V - The Empire Strikes Back,Year : 1980,Run time : 124,IMDB rating : 8.7,Votes : 1347971,Revenue USD : 290.48,Director : Irvin Kershner,"Cast : Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams","Summary : After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
5,Title : The Green Mile,Year : 1999,Run time : 189,IMDB rating : 8.6,Votes : 1368006,Revenue USD : 136.8,Director : Frank Darabont,"Cast : Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt","Summary : A tale set on death row in a Southern jail, where gentle giant John possesses the mysterious power to heal people's ailments. When the lead guard, Paul, recognizes John's gift, he tries to help stave off the condemned man's execution."
6,Title : Star Wars: Episode IV - A New Hope,Year : 1977,Run time : 121,IMDB rating : 8.6,Votes : 1419263,Revenue USD : 322.74,Director : George Lucas,"Cast : Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness","Summary : Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
7,Title : Spirited Away,Year : 2001,Run time : 125,IMDB rating : 8.6,Votes : 815337,Revenue USD : 10.06,Director : Hayao Miyazaki,"Cast : Daveigh Chase, Suzanne Pleshette, Miyu Irino, Rumi Hiiragi","Summary : During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts."
8,Title : It's a Wonderful Life,Year : 1946,Run time : 130,IMDB rating : 8.6,Votes : 481077,Revenue USD : ,Director : Frank Capra,"Cast : James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell",Summary : An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
9,Title : Spider-Man: Into the Spider-Verse,Year : 2018,Run time : 117,IMDB rating : 8.4,Votes : 636019,Revenue USD : 190.24,"Director : Bob Persichetti, Peter Ramsey, Rodney Rothman","Cast : Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali",Summary : Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.
10,Title : Coco,Year : 2017,Run time : 105,IMDB rating : 8.4,Votes : 560420,Revenue USD : 209.73,"Director : Lee Unkrich, Adrian Molina","Cast : Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach","Summary : Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
11,Title : Your Name.,Year : 2016,Run time : 106,IMDB rating : 8.4,Votes : 302020,Revenue USD : 5.02,Director : Makoto Shinkai,"Cast : Ryunosuke Kamiki, Mone Kamishiraishi, Ryo Narita, Aoi Yûki","Summary : Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person."
12,Title : Toy Story,Year : 1995,Run time : 81,IMDB rating : 8.3,Votes : 1042305,Revenue USD : 191.8,Director : John Lasseter,"Cast : Tom Hanks, Tim Allen, Don Rickles, Jim Varney",Summary : A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.
13,Title : Star Wars: Episode VI - Return of the Jedi,Year : 1983,Run time : 131,IMDB rating : 8.3,Votes : 1097690,Revenue USD : 309.13,Director : Richard Marquand,"Cast : Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams","Summary : After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side."
14,Title : Princess Mononoke,Year : 1997,Run time : 134,IMDB rating : 8.3,Votes : 418200,Revenue USD : 2.38,Director : Hayao Miyazaki,"Cast : Yôji Matsuda, Yuriko Ishida, Yûko Tanaka, Billy Crudup","Summary : On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
15,Title : Toy Story 3,Year : 2010,Run time : 103,IMDB rating : 8.3,Votes : 873232,Revenue USD : 415.0,Director : Lee Unkrich,"Cast : Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty","Summary : The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
