,movie_name,movie_year,movie_runtime,imdb_ratings,number_votes,us_gross_millions,directors,cast,movie_description
0,Title : Sunset Blvd.,Year : 1950,Run time : 110,IMDB rating : 8.4,Votes : 231421,Revenue USD : ,Director : Billy Wilder,"Cast : William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson",Summary : A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
1,Title : Double Indemnity,Year : 1944,Run time : 107,IMDB rating : 8.3,Votes : 163930,Revenue USD : 5.72,Director : Billy Wilder,"Cast : Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Byron Barr","Summary : A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator."
2,Title : Rebecca,Year : 1940,Run time : 130,IMDB rating : 8.1,Votes : 143603,Revenue USD : 4.36,Director : Alfred Hitchcock,"Cast : Laurence Olivier, Joan Fontaine, George Sanders, Judith Anderson",Summary : A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
3,Title : The Third Man,Year : 1949,Run time : 93,IMDB rating : 8.1,Votes : 178367,Revenue USD : 0.45,Director : Carol Reed,"Cast : Orson Welles, Joseph Cotten, Alida Valli, Trevor Howard","Summary : Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
4,Title : Ace in the Hole,Year : 1951,Run time : 111,IMDB rating : 8.1,Votes : 38298,Revenue USD : 3.97,Director : Billy Wilder,"Cast : Kirk Douglas, Jan Sterling, Robert Arthur, Porter Hall","Summary : A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus."
5,Title : White Heat,Year : 1949,Run time : 114,IMDB rating : 8.1,Votes : 34945,Revenue USD : ,Director : Raoul Walsh,"Cast : James Cagney, Virginia Mayo, Edmond O'Brien, Margaret Wycherly",Summary : A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.
6,Title : The Night of the Hunter,Year : 1955,Run time : 92,IMDB rating : 8.0,Votes : 94966,Revenue USD : 0.65,Director : Charles Laughton,"Cast : Robert Mitchum, Shelley Winters, Lillian Gish, James Gleason","Summary : A self-proclaimed preacher marries a gullible widow whose young children are reluctant to tell him where their real dad hid the $10,000 he'd stolen in a robbery."
7,Title : Touch of Evil,Year : 1958,Run time : 95,IMDB rating : 8.0,Votes : 108202,Revenue USD : 2.24,Director : Orson Welles,"Cast : Charlton Heston, Orson Welles, Janet Leigh, Joseph Calleia","Summary : A stark, perverse story of murder, kidnapping and police corruption in a Mexican border town."
8,Title : The Maltese Falcon,Year : 1941,Run time : 100,IMDB rating : 8.0,Votes : 164178,Revenue USD : 2.11,Director : John Huston,"Cast : Humphrey Bogart, Mary Astor, Gladys George, Peter Lorre","Summary : San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar and their quest for a priceless statuette, with the stakes rising after his partner is murdered."
9,Title : Out of the Past,Year : 1947,Run time : 97,IMDB rating : 8.0,Votes : 39827,Revenue USD : ,Director : Jacques Tourneur,"Cast : Robert Mitchum, Jane Greer, Kirk Douglas, Rhonda Fleming","Summary : A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses, and duplicitous dames."
10,Title : Sweet Smell of Success,Year : 1957,Run time : 96,IMDB rating : 8.0,Votes : 34713,Revenue USD : ,Director : Alexander Mackendrick,"Cast : Burt Lancaster, Tony Curtis, Susan Harrison, Martin Milner",Summary : Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.
