,movie_name,movie_year,movie_runtime,imdb_ratings,number_votes,us_gross_millions,directors,cast,movie_description
0,Title : Schindler's List,Year : 1993,Run time : 195,IMDB rating : 9.0,Votes : 1414098,Revenue USD : 96.9,Director : Steven Spielberg,"Cast : Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall","Summary : In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
1,Title : Oppenheimer,Year : 2023,Run time : 180,IMDB rating : 8.5,Votes : 468997,Revenue USD : ,Director : Christopher Nolan,"Cast : Cillian Murphy, Emily Blunt, Matt Damon, Robert Downey Jr.","Summary : The story of American scientist, J. Robert Oppenheimer, and his role in the development of the atomic bomb."
2,Title : Sardar Udham,Year : 2021,Run time : 164,IMDB rating : 8.4,Votes : 45462,Revenue USD : ,Director : Shoojit Sircar,"Cast : Vicky Kaushal, Shaun Scott, Stephen Hogan, Amol Parashar","Summary : A biopic detailing the 2 decades that Punjabi Sikh revolutionary, Udham Singh, spent planning the assassination of the man responsible for the Jallianwala Bagh massacre."
3,Title : Braveheart,Year : 1995,Run time : 178,IMDB rating : 8.3,Votes : 1071968,Revenue USD : 75.6,Director : Mel Gibson,"Cast : Mel Gibson, Sophie Marceau, Patrick McGoohan, Angus Macfadyen",Summary : Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
4,Title : Hamilton,Year : 2020,Run time : 160,IMDB rating : 8.3,Votes : 107262,Revenue USD : ,Director : Thomas Kail,"Cast : Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr., Renée Elise Goldsberry","Summary : The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
5,Title : Ayla: The Daughter of War,Year : 2017,Run time : 125,IMDB rating : 8.3,Votes : 42588,Revenue USD : ,Director : Can Ulkay,"Cast : Çetin Tekindor, Ismail Hacioglu, Kyung-jin Lee, Kim Seol","Summary : Sergeant Süleyman finds a little girl on a battlefield during the Korean War. He takes her and names her Ayla. Fifteen months later, Süleyman's brigade is told they will be returning to Turkey, and he is reluctant to leave her behind."
6,Title : Downfall,Year : 2004,Run time : 156,IMDB rating : 8.2,Votes : 368285,Revenue USD : 5.51,Director : Oliver Hirschbiegel,"Cast : Bruno Ganz, Alexandra Maria Lara, Ulrich Matthes, Juliane Köhler","Summary : Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
7,Title : The Great Escape,Year : 1963,Run time : 172,IMDB rating : 8.2,Votes : 253969,Revenue USD : 12.1,Director : John Sturges,"Cast : Steve McQueen, James Garner, Richard Attenborough, Charles Bronson",Summary : Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.
8,Title : Uri: The Surgical Strike,Year : 2019,Run time : 138,IMDB rating : 8.2,Votes : 69532,Revenue USD : 4.19,Director : Aditya Dhar,"Cast : Vicky Kaushal, Paresh Rawal, Mohit Raina, Yami Gautam","Summary : Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group."
9,Title : Killers of the Flower Moon,Year : 2023,Run time : 206,IMDB rating : 8.1,Votes : 53692,Revenue USD : ,Director : Martin Scorsese,"Cast : Leonardo DiCaprio, Robert De Niro, Lily Gladstone, Jesse Plemons","Summary : When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery."
10,Title : Hacksaw Ridge,Year : 2016,Run time : 139,IMDB rating : 8.1,Votes : 571649,Revenue USD : 67.21,Director : Mel Gibson,"Cast : Andrew Garfield, Sam Worthington, Luke Bracey, Teresa Palmer","Summary : World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot."
11,Title : 12 Years a Slave,Year : 2013,Run time : 134,IMDB rating : 8.1,Votes : 727506,Revenue USD : 56.67,Director : Steve McQueen,"Cast : Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender, Brad Pitt","Summary : In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
12,Title : Hotel Rwanda,Year : 2004,Run time : 121,IMDB rating : 8.1,Votes : 366732,Revenue USD : 23.53,Director : Terry George,"Cast : Don Cheadle, Sophie Okonedo, Joaquin Phoenix, Xolani Mali","Summary : Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa."
13,Title : The Message,Year : 1976,Run time : 177,IMDB rating : 8.1,Votes : 49816,Revenue USD : ,Director : Moustapha Akkad,"Cast : Anthony Quinn, Irene Papas, Michael Ansara, Johnny Sekka",Summary : This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history.
14,Title : Andrei Rublev,Year : 1966,Run time : 205,IMDB rating : 8.1,Votes : 55999,Revenue USD : 0.1,Director : Andrei Tarkovsky,"Cast : Anatoliy Solonitsyn, Ivan Lapikov, Nikolay Grinko, Nikolay Sergeev","Summary : The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev."
15,Title : Inherit the Wind,Year : 1960,Run time : 128,IMDB rating : 8.1,Votes : 32065,Revenue USD : ,Director : Stanley Kramer,"Cast : Spencer Tracy, Fredric March, Gene Kelly, Dick York","Summary : Based on a real-life case in 1925, two great lawyers argue the case for and against a Tennessee science teacher accused of the crime of teaching evolution."
16,Title : The Passion of Joan of Arc,Year : 1928,Run time : 114,IMDB rating : 8.1,Votes : 58879,Revenue USD : 0.02,Director : Carl Theodor Dreyer,"Cast : Maria Falconetti, Eugene Silvain, André Berley, Maurice Schutz","Summary : In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions."
17,Title : The King's Speech,Year : 2010,Run time : 118,IMDB rating : 8.0,Votes : 699105,Revenue USD : 138.8,Director : Tom Hooper,"Cast : Colin Firth, Geoffrey Rush, Helena Bonham Carter, Derek Jacobi","Summary : The story of King George VI, his unexpected ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer."
