,movie_name,movie_year,movie_runtime,imdb_ratings,number_votes,us_gross_millions,directors,cast,movie_description
0,Title : Alien,Year : 1979,Run time : 117,IMDB rating : 8.5,Votes : 924480,Revenue USD : 78.9,Director : Ridley Scott,"Cast : Sigourney Weaver, Tom Skerritt, John Hurt, Veronica Cartwright",Summary : The crew of a commercial spacecraft encounters a deadly lifeform after investigating an unknown transmission.
1,Title : Psycho,Year : 1960,Run time : 109,IMDB rating : 8.5,Votes : 702686,Revenue USD : 32.0,Director : Alfred Hitchcock,"Cast : Anthony Perkins, Janet Leigh, Vera Miles, John Gavin","Summary : A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother."
2,Title : The Shining,Year : 1980,Run time : 146,IMDB rating : 8.4,Votes : 1077164,Revenue USD : 44.02,Director : Stanley Kubrick,"Cast : Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers","Summary : A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
3,Title : The Thing,Year : 1982,Run time : 109,IMDB rating : 8.2,Votes : 451330,Revenue USD : 13.78,Director : John Carpenter,"Cast : Kurt Russell, Wilford Brimley, Keith David, Richard Masur",Summary : A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
4,Title : Tumbbad,Year : 2018,Run time : 104,IMDB rating : 8.2,Votes : 55930,Revenue USD : ,"Director : Rahi Anil Barve, Anand Gandhi, Adesh Prasad","Cast : Sohum Shah, Jyoti Malshe, Anita Date-Kelkar, Ronjini Chakraborty",Summary : A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.
5,Title : The Exorcist,Year : 1973,Run time : 122,IMDB rating : 8.1,Votes : 441206,Revenue USD : 232.91,Director : William Friedkin,"Cast : Ellen Burstyn, Max von Sydow, Linda Blair, Lee J. Cobb","Summary : When a young girl is possessed by a mysterious entity, her mother seeks the help of two Catholic priests to save her life."
6,Title : Diabolique,Year : 1955,Run time : 117,IMDB rating : 8.1,Votes : 68331,Revenue USD : 1.09,Director : Henri-Georges Clouzot,"Cast : Simone Signoret, Véra Clouzot, Paul Meurisse, Charles Vanel",Summary : The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.
7,Title : Rosemary's Baby,Year : 1968,Run time : 137,IMDB rating : 8.0,Votes : 229229,Revenue USD : ,Director : Roman Polanski,"Cast : Mia Farrow, John Cassavetes, Ruth Gordon, Sidney Blackmer","Summary : A young couple trying for a baby moves into an aging, ornate apartment building on Central Park West, where they find themselves surrounded by peculiar neighbors."
8,Title : What Ever Happened to Baby Jane?,Year : 1962,Run time : 134,IMDB rating : 8.0,Votes : 60203,Revenue USD : 4.05,Director : Robert Aldrich,"Cast : Bette Davis, Joan Crawford, Victor Buono, Wesley Addy",Summary : A former child star torments her paraplegic sister in their decaying Hollywood mansion.
9,Title : The Cabinet of Dr. Caligari,Year : 1920,Run time : 67,IMDB rating : 8.0,Votes : 68269,Revenue USD : ,Director : Robert Wiene,"Cast : Werner Krauss, Conrad Veidt, Friedrich Feher, Lil Dagover","Summary : Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders."
