,movie_name,movie_year,movie_runtime,imdb_ratings,number_votes,us_gross_millions,directors,cast,movie_description
0,Title : Whiplash,Year : 2014,Run time : 106,IMDB rating : 8.5,Votes : 939702,Revenue USD : 13.09,Director : Damien Chazelle,"Cast : Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser",Summary : A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
1,Title : The Pianist,Year : 2002,Run time : 150,IMDB rating : 8.5,Votes : 883372,Revenue USD : 32.57,Director : Roman Polanski,"Cast : Adrien Brody, Thomas Kretschmann, Frank Finlay, Emilia Fox",Summary : A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
2,Title : Coco,Year : 2017,Run time : 105,IMDB rating : 8.4,Votes : 560420,Revenue USD : 209.73,"Director : Lee Unkrich, Adrian Molina","Cast : Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach","Summary : Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
3,Title : Amadeus,Year : 1984,Run time : 160,IMDB rating : 8.4,Votes : 418911,Revenue USD : 51.97,Director : Milos Forman,"Cast : F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice","Summary : The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him."
4,Title : Green Book,Year : 2018,Run time : 130,IMDB rating : 8.2,Votes : 539621,Revenue USD : 85.08,Director : Peter Farrelly,"Cast : Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco",Summary : A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.
5,Title : Some Like It Hot,Year : 1959,Run time : 121,IMDB rating : 8.2,Votes : 277968,Revenue USD : 25.0,Director : Billy Wilder,"Cast : Marilyn Monroe, Tony Curtis, Jack Lemmon, George Raft","Summary : After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
6,Title : The Red Shoes,Year : 1948,Run time : 135,IMDB rating : 8.1,Votes : 37825,Revenue USD : 10.9,"Director : Michael Powell, Emeric Pressburger","Cast : Anton Walbrook, Marius Goring, Moira Shearer, Robert Helpmann",Summary : A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.
7,Title : Farewell My Concubine,Year : 1992,Run time : 171,IMDB rating : 8.1,Votes : 31946,Revenue USD : 5.22,Director : Kaige Chen,"Cast : Leslie Cheung, Fengyi Zhang, Gong Li, You Ge",Summary : Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and endure some of the most troublesome times in China's history.
8,Title : Autumn Sonata,Year : 1978,Run time : 99,IMDB rating : 8.1,Votes : 36787,Revenue USD : ,Director : Ingmar Bergman,"Cast : Ingrid Bergman, Liv Ullmann, Lena Nyman, Halvar Björk","Summary : A devoted wife is visited by her mother, a successful concert pianist who had little time for her when she was young."
9,Title : La La Land,Year : 2016,Run time : 128,IMDB rating : 8.0,Votes : 638943,Revenue USD : 151.1,Director : Damien Chazelle,"Cast : Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons","Summary : While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
10,Title : CODA,Year : 2021,Run time : 111,IMDB rating : 8.0,Votes : 154607,Revenue USD : ,Director : Sian Heder,"Cast : Emilia Jones, Marlee Matlin, Troy Kotsur, Daniel Durant","Summary : As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her passion at Berklee College of Music and her fear of abandoning her parents."
11,Title : Soul,Year : 2020,Run time : 100,IMDB rating : 8.0,Votes : 360286,Revenue USD : ,"Director : Pete Docter, Kemp Powers","Cast : Jamie Foxx, Tina Fey, Graham Norton, Rachel House","Summary : After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife."
12,Title : Pink Floyd: The Wall,Year : 1982,Run time : 95,IMDB rating : 8.0,Votes : 84035,Revenue USD : 22.24,Director : Alan Parker,"Cast : Bob Geldof, Christine Hargreaves, James Laurenson, Eleanor David",Summary : A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.
13,Title : The Legend of 1900,Year : 1998,Run time : 169,IMDB rating : 8.0,Votes : 67866,Revenue USD : 0.26,Director : Giuseppe Tornatore,"Cast : Tim Roth, Pruitt Taylor Vince, Mélanie Thierry, Bill Nunn","Summary : A baby boy discovered on an ocean liner in 1900 grows into a musical prodigy, never setting foot on land."
14,Title : Almost Famous,Year : 2000,Run time : 122,IMDB rating : 7.9,Votes : 288123,Revenue USD : 32.53,Director : Cameron Crowe,"Cast : Billy Crudup, Patrick Fugit, Kate Hudson, Frances McDormand",Summary : A high-school boy in the early 1970s is given the chance to write a story for Rolling Stone magazine about an up-and-coming rock band as he accompanies them on their concert tour.
15,Title : Bohemian Rhapsody,Year : 2018,Run time : 134,IMDB rating : 7.9,Votes : 571875,Revenue USD : 216.43,Director : Bryan Singer,"Cast : Rami Malek, Lucy Boynton, Gwilym Lee, Ben Hardy","Summary : The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985)."
16,Title : The Blues Brothers,Year : 1980,Run time : 133,IMDB rating : 7.9,Votes : 209270,Revenue USD : 57.23,Director : John Landis,"Cast : John Belushi, Dan Aykroyd, Cab Calloway, John Candy","Summary : Jake Blues rejoins with his brother Elwood after being released from prison, but the duo has just days to reunite their old R&B band and save the Catholic home where the two were raised, outrunning the police as they tear through Chicago."
