,movie_name,movie_year,movie_runtime,imdb_ratings,number_votes,us_gross_millions,directors,cast,movie_description
0,Title : The Lion King,Year : 1994,Run time : 88,IMDB rating : 8.5,Votes : 1111483,Revenue USD : 422.78,"Director : Roger Allers, Rob Minkoff","Cast : Matthew Broderick, Jeremy Irons, James Earl Jones, Whoopi Goldberg","Summary : Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
1,Title : Hamilton,Year : 2020,Run time : 160,IMDB rating : 8.3,Votes : 107262,Revenue USD : ,Director : Thomas Kail,"Cast : Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr., Renée Elise Goldsberry","Summary : The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
2,Title : Singin' in the Rain,Year : 1952,Run time : 103,IMDB rating : 8.3,Votes : 254368,Revenue USD : 8.82,"Director : Stanley Donen, Gene Kelly","Cast : Gene Kelly, Donald O'Connor, Debbie Reynolds, Jean Hagen",Summary : A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.
3,Title : Zindagi Na Milegi Dobara,Year : 2011,Run time : 155,IMDB rating : 8.2,Votes : 83527,Revenue USD : 3.11,Director : Zoya Akhtar,"Cast : Hrithik Roshan, Farhan Akhtar, Abhay Deol, Katrina Kaif",Summary : Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.
4,Title : Swades,Year : 2004,Run time : 189,IMDB rating : 8.2,Votes : 95709,Revenue USD : 1.22,Director : Ashutosh Gowariker,"Cast : Shah Rukh Khan, Gayatri Joshi, Kishori Ballal, Smith Seth",Summary : A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.
5,Title : The Wizard of Oz,Year : 1939,Run time : 102,IMDB rating : 8.1,Votes : 418383,Revenue USD : 2.08,"Director : Victor Fleming, King Vidor","Cast : Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr","Summary : Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes."
6,Title : The Sound of Music,Year : 1965,Run time : 172,IMDB rating : 8.1,Votes : 250709,Revenue USD : 163.21,Director : Robert Wise,"Cast : Julie Andrews, Christopher Plummer, Eleanor Parker, Richard Haydn",Summary : A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.
7,Title : Lagaan: Once Upon a Time in India,Year : 2001,Run time : 224,IMDB rating : 8.1,Votes : 118526,Revenue USD : 0.91,Director : Ashutosh Gowariker,"Cast : Aamir Khan, Raghubir Yadav, Gracy Singh, Rachel Shelley",Summary : The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.
8,Title : Sholay,Year : 1975,Run time : 162,IMDB rating : 8.1,Votes : 57879,Revenue USD : ,Director : Ramesh Sippy,"Cast : Sanjeev Kumar, Dharmendra, Amitabh Bachchan, Amjad Khan","Summary : After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit."
9,Title : Anand,Year : 1971,Run time : 122,IMDB rating : 8.1,Votes : 34835,Revenue USD : ,Director : Hrishikesh Mukherjee,"Cast : Rajesh Khanna, Amitabh Bachchan, Sumita Sanyal, Ramesh Deo","Summary : The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend."
10,Title : La La Land,Year : 2016,Run time : 128,IMDB rating : 8.0,Votes : 638943,Revenue USD : 151.1,Director : Damien Chazelle,"Cast : Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons","Summary : While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
11,Title : Aladdin,Year : 1992,Run time : 90,IMDB rating : 8.0,Votes : 451442,Revenue USD : 217.35,"Director : Ron Clements, John Musker","Cast : Scott Weinger, Robin Williams, Linda Larkin, Jonathan Freeman",Summary : A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
12,Title : Beauty and the Beast,Year : 1991,Run time : 84,IMDB rating : 8.0,Votes : 471762,Revenue USD : 218.97,"Director : Gary Trousdale, Kirk Wise","Cast : Paige O'Hara, Robby Benson, Jesse Corti, Rex Everhart",Summary : A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.
13,Title : Fiddler on the Roof,Year : 1971,Run time : 181,IMDB rating : 8.0,Votes : 46315,Revenue USD : 80.5,Director : Norman Jewison,"Cast : Topol, Norma Crane, Leonard Frey, Molly Picon","Summary : In pre-revolutionary Russia, a Jewish peasant with traditional values contends with marrying off three of his daughters with modern romantic ideals while growing anti-Semitic sentiment threatens his village."
