,movie_name,movie_year,movie_runtime,imdb_ratings,number_votes,us_gross_millions,directors,cast,movie_description
0,Title : Mirror Game,Year : 2016,Run time : 147,IMDB rating : 9.0,Votes : 29169,Revenue USD : ,Director : Amitabh Reza Chowdhury,"Cast : Chanchal Chowdhury, Masuma Rahman Nabila, Partha Barua, Lutfur Rahman George","Summary : A struggling actor becomes a professional impostor, hired to impersonate people for financial gain, but as he delves deeper into his work he becomes embroiled in trouble that threatens to unravel his life."
1,Title : Jai Bhim,Year : 2021,Run time : 164,IMDB rating : 8.8,Votes : 211607,Revenue USD : ,Director : T.J. Gnanavel,"Cast : Suriya, Lijo Mol Jose, Manikandan K., Rajisha Vijayan","Summary : When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
2,Title : Se7en,Year : 1995,Run time : 127,IMDB rating : 8.6,Votes : 1743768,Revenue USD : 100.13,Director : David Fincher,"Cast : Morgan Freeman, Brad Pitt, Kevin Spacey, Andrew Kevin Walker","Summary : Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
3,Title : The Green Mile,Year : 1999,Run time : 189,IMDB rating : 8.6,Votes : 1368006,Revenue USD : 136.8,Director : Frank Darabont,"Cast : Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt","Summary : A tale set on death row in a Southern jail, where gentle giant John possesses the mysterious power to heal people's ailments. When the lead guard, Paul, recognizes John's gift, he tries to help stave off the condemned man's execution."
4,Title : Spirited Away,Year : 2001,Run time : 125,IMDB rating : 8.6,Votes : 815337,Revenue USD : 10.06,Director : Hayao Miyazaki,"Cast : Daveigh Chase, Suzanne Pleshette, Miyu Irino, Rumi Hiiragi","Summary : During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts."
5,Title : Harakiri,Year : 1962,Run time : 133,IMDB rating : 8.6,Votes : 64573,Revenue USD : ,Director : Masaki Kobayashi,"Cast : Tatsuya Nakadai, Akira Ishihama, Shima Iwashita, Tetsurô Tanba","Summary : When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
6,Title : Sita Ramam,Year : 2022,Run time : 163,IMDB rating : 8.6,Votes : 63756,Revenue USD : ,Director : Hanu Raghavapudi,"Cast : Dulquer Salmaan, Mrunal Thakur, Rashmika Mandanna, Sumanth","Summary : An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her."
7,Title : The Prestige,Year : 2006,Run time : 130,IMDB rating : 8.5,Votes : 1403434,Revenue USD : 53.09,Director : Christopher Nolan,"Cast : Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine","Summary : After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
8,Title : Psycho,Year : 1960,Run time : 109,IMDB rating : 8.5,Votes : 702686,Revenue USD : 32.0,Director : Alfred Hitchcock,"Cast : Anthony Perkins, Janet Leigh, Vera Miles, John Gavin","Summary : A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother."
9,Title : The Usual Suspects,Year : 1995,Run time : 106,IMDB rating : 8.5,Votes : 1123160,Revenue USD : 23.34,Director : Bryan Singer,"Cast : Kevin Spacey, Gabriel Byrne, Chazz Palminteri, Stephen Baldwin",Summary : The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.
10,Title : Rear Window,Year : 1954,Run time : 112,IMDB rating : 8.5,Votes : 511186,Revenue USD : 36.76,Director : Alfred Hitchcock,"Cast : James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter","Summary : A photographer in a wheelchair spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend."
11,Title : Oldboy,Year : 2003,Run time : 120,IMDB rating : 8.4,Votes : 614816,Revenue USD : 0.71,Director : Park Chan-wook,"Cast : Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong, Kim Byeong-Ok","Summary : After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
12,Title : Coco,Year : 2017,Run time : 105,IMDB rating : 8.4,Votes : 560420,Revenue USD : 209.73,"Director : Lee Unkrich, Adrian Molina","Cast : Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach","Summary : Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
13,Title : Memento,Year : 2000,Run time : 113,IMDB rating : 8.4,Votes : 1292701,Revenue USD : 25.54,Director : Christopher Nolan,"Cast : Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior",Summary : A man with short-term memory loss attempts to track down his wife's murderer.
14,Title : Apocalypse Now,Year : 1979,Run time : 147,IMDB rating : 8.4,Votes : 694835,Revenue USD : 83.47,Director : Francis Ford Coppola,"Cast : Martin Sheen, Marlon Brando, Robert Duvall, Frederic Forrest",Summary : A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
15,Title : The Lives of Others,Year : 2006,Run time : 137,IMDB rating : 8.4,Votes : 402762,Revenue USD : 11.29,Director : Florian Henckel von Donnersmarck,"Cast : Ulrich Mühe, Martina Gedeck, Sebastian Koch, Ulrich Tukur","Summary : In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
16,Title : Witness for the Prosecution,Year : 1957,Run time : 116,IMDB rating : 8.4,Votes : 133259,Revenue USD : 8.18,Director : Billy Wilder,"Cast : Tyrone Power, Marlene Dietrich, Charles Laughton, Elsa Lanchester",Summary : A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
17,Title : High and Low,Year : 1963,Run time : 143,IMDB rating : 8.4,Votes : 50307,Revenue USD : ,Director : Akira Kurosawa,"Cast : Toshirô Mifune, Yutaka Sada, Tatsuya Nakadai, Kyôko Kagawa",Summary : An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.
18,Title : Incendies,Year : 2010,Run time : 131,IMDB rating : 8.3,Votes : 190674,Revenue USD : 6.86,Director : Denis Villeneuve,"Cast : Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette, Mustafa Kamel",Summary : Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
19,Title : North by Northwest,Year : 1959,Run time : 136,IMDB rating : 8.3,Votes : 339847,Revenue USD : 13.28,Director : Alfred Hitchcock,"Cast : Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis","Summary : A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
20,Title : Vertigo,Year : 1958,Run time : 128,IMDB rating : 8.3,Votes : 418294,Revenue USD : 3.2,Director : Alfred Hitchcock,"Cast : James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore","Summary : A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."
21,Title : Citizen Kane,Year : 1941,Run time : 119,IMDB rating : 8.3,Votes : 457818,Revenue USD : 1.59,Director : Orson Welles,"Cast : Orson Welles, Joseph Cotten, Dorothy Comingore, Agnes Moorehead","Summary : Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'"
22,Title : M,Year : 1931,Run time : 99,IMDB rating : 8.3,Votes : 164980,Revenue USD : 0.03,Director : Fritz Lang,"Cast : Peter Lorre, Ellen Widmann, Inge Landgut, Otto Wernicke","Summary : When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
23,Title : Double Indemnity,Year : 1944,Run time : 107,IMDB rating : 8.3,Votes : 163930,Revenue USD : 5.72,Director : Billy Wilder,"Cast : Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Byron Barr","Summary : A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator."
24,Title : Raatchasan,Year : 2018,Run time : 170,IMDB rating : 8.3,Votes : 48650,Revenue USD : ,Director : Ram Kumar,"Cast : Vishnu Vishal, Amala Paul, Radha Ravi, Sangili Murugan",Summary : A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.
25,Title : The Thing,Year : 1982,Run time : 109,IMDB rating : 8.2,Votes : 451330,Revenue USD : 13.78,Director : John Carpenter,"Cast : Kurt Russell, Wilford Brimley, Keith David, Richard Masur",Summary : A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
26,Title : Shutter Island,Year : 2010,Run time : 138,IMDB rating : 8.2,Votes : 1404590,Revenue USD : 128.01,Director : Martin Scorsese,"Cast : Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo, Ben Kingsley","Summary : Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place."
27,Title : The Sixth Sense,Year : 1999,Run time : 107,IMDB rating : 8.2,Votes : 1028754,Revenue USD : 293.51,Director : M. Night Shyamalan,"Cast : Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams","Summary : Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wife."
28,Title : L.A. Confidential,Year : 1997,Run time : 138,IMDB rating : 8.2,Votes : 603540,Revenue USD : 64.62,Director : Curtis Hanson,"Cast : Kevin Spacey, Russell Crowe, Guy Pearce, Kim Basinger","Summary : As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
29,Title : Chinatown,Year : 1974,Run time : 130,IMDB rating : 8.2,Votes : 341497,Revenue USD : ,Director : Roman Polanski,"Cast : Jack Nicholson, Faye Dunaway, John Huston, Perry Lopez","Summary : A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder."
30,Title : The Father,Year : 2020,Run time : 97,IMDB rating : 8.2,Votes : 179515,Revenue USD : ,Director : Florian Zeller,"Cast : Anthony Hopkins, Olivia Colman, Mark Gatiss, Olivia Williams","Summary : A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
31,Title : The Secret in Their Eyes,Year : 2009,Run time : 129,IMDB rating : 8.2,Votes : 218045,Revenue USD : 6.39,Director : Juan José Campanella,"Cast : Ricardo Darín, Soledad Villamil, Pablo Rago, Carla Quevedo",Summary : A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.
32,Title : Drishyam 2,Year : 2022,Run time : 140,IMDB rating : 8.2,Votes : 41033,Revenue USD : ,Director : Abhishek Pathak,"Cast : Ajay Devgn, Akshaye Khanna, Tabu, Shriya Saran",Summary : A gripping tale of an investigation and a family which is threatened by it. Will Vijay Salgaonkar be able to protect his family this time?
33,Title : Rashomon,Year : 1950,Run time : 88,IMDB rating : 8.2,Votes : 176353,Revenue USD : 0.1,Director : Akira Kurosawa,"Cast : Toshirô Mifune, Machiko Kyô, Masayuki Mori, Takashi Shimura","Summary : The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter."
34,Title : Andhadhun,Year : 2018,Run time : 139,IMDB rating : 8.2,Votes : 99488,Revenue USD : 1.37,Director : Sriram Raghavan,"Cast : Tabu, Ayushmann Khurrana, Radhika Apte, Anil Dhawan","Summary : A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of."
