,movie_name,movie_year,movie_runtime,imdb_ratings,number_votes,us_gross_millions,directors,cast,movie_description
0,Title : Forrest Gump,Year : 1994,Run time : 142,IMDB rating : 8.8,Votes : 2190290,Revenue USD : 330.25,Director : Robert Zemeckis,"Cast : Tom Hanks, Robin Wright, Gary Sinise, Sally Field","Summary : The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart."
1,Title : Life Is Beautiful,Year : 1997,Run time : 116,IMDB rating : 8.6,Votes : 725846,Revenue USD : 57.6,Director : Roberto Benigni,"Cast : Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano","Summary : When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp."
2,Title : It's a Wonderful Life,Year : 1946,Run time : 130,IMDB rating : 8.6,Votes : 481077,Revenue USD : ,Director : Frank Capra,"Cast : James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell",Summary : An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
3,Title : Sita Ramam,Year : 2022,Run time : 163,IMDB rating : 8.6,Votes : 63756,Revenue USD : ,Director : Hanu Raghavapudi,"Cast : Dulquer Salmaan, Mrunal Thakur, Rashmika Mandanna, Sumanth","Summary : An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her."
4,Title : Casablanca,Year : 1942,Run time : 102,IMDB rating : 8.5,Votes : 594101,Revenue USD : 1.02,Director : Michael Curtiz,"Cast : Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains",Summary : A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
5,Title : Cinema Paradiso,Year : 1988,Run time : 155,IMDB rating : 8.5,Votes : 275347,Revenue USD : 11.99,Director : Giuseppe Tornatore,"Cast : Philippe Noiret, Enzo Cannavale, Antonella Attili, Isa Danieli",Summary : A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
6,Title : Modern Times,Year : 1936,Run time : 87,IMDB rating : 8.5,Votes : 253726,Revenue USD : 0.16,Director : Charles Chaplin,"Cast : Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford",Summary : The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
7,Title : City Lights,Year : 1931,Run time : 87,IMDB rating : 8.5,Votes : 192149,Revenue USD : 0.02,Director : Charles Chaplin,"Cast : Charles Chaplin, Virginia Cherrill, Florence Lee, Harry Myers","Summary : With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
8,Title : 96,Year : 2018,Run time : 158,IMDB rating : 8.5,Votes : 34696,Revenue USD : ,Director : C. Prem Kumar,"Cast : Vijay Sethupathi, Adithya Bhaskar, Trisha Krishnan, Gouri Kishan",Summary : Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.
9,Title : Your Name.,Year : 2016,Run time : 106,IMDB rating : 8.4,Votes : 302020,Revenue USD : 5.02,Director : Makoto Shinkai,"Cast : Ryunosuke Kamiki, Mone Kamishiraishi, Ryo Narita, Aoi Yûki","Summary : Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person."
10,Title : Good Will Hunting,Year : 1997,Run time : 126,IMDB rating : 8.3,Votes : 1027956,Revenue USD : 138.43,Director : Gus Van Sant,"Cast : Robin Williams, Matt Damon, Ben Affleck, Stellan Skarsgård","Summary : Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
11,Title : Eternal Sunshine of the Spotless Mind,Year : 2004,Run time : 108,IMDB rating : 8.3,Votes : 1050737,Revenue USD : 34.4,Director : Michel Gondry,"Cast : Jim Carrey, Kate Winslet, Tom Wilkinson, Gerry Robert Byrne","Summary : When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever."
12,Title : Amélie,Year : 2001,Run time : 122,IMDB rating : 8.3,Votes : 780785,Revenue USD : 33.23,Director : Jean-Pierre Jeunet,"Cast : Audrey Tautou, Mathieu Kassovitz, Rufus, Lorella Cravotta","Summary : Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love."
13,Title : Vertigo,Year : 1958,Run time : 128,IMDB rating : 8.3,Votes : 418294,Revenue USD : 3.2,Director : Alfred Hitchcock,"Cast : James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore","Summary : A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."
14,Title : Singin' in the Rain,Year : 1952,Run time : 103,IMDB rating : 8.3,Votes : 254368,Revenue USD : 8.82,"Director : Stanley Donen, Gene Kelly","Cast : Gene Kelly, Donald O'Connor, Debbie Reynolds, Jean Hagen",Summary : A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.
15,Title : The Apartment,Year : 1960,Run time : 125,IMDB rating : 8.3,Votes : 191154,Revenue USD : 18.6,Director : Billy Wilder,"Cast : Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston","Summary : A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
16,Title : Dil Bechara,Year : 2020,Run time : 101,IMDB rating : 8.3,Votes : 133771,Revenue USD : ,Director : Mukesh Chhabra,"Cast : Sushant Singh Rajput, Sanjana Sanghi, Sahil Vaid, Saswata Chatterjee","Summary : The emotional journey of two hopelessly-in-love youngsters; a young girl, Kizie, who is suffering from cancer; and Manny, a boy Kizie meets at a support group."
17,Title : Chhichhore,Year : 2019,Run time : 143,IMDB rating : 8.3,Votes : 60386,Revenue USD : 2.0,Director : Nitesh Tiwari,"Cast : Sushant Singh Rajput, Shraddha Kapoor, Varun Sharma, Prateik Patil Babbar","Summary : A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers."
18,Title : Gone with the Wind,Year : 1939,Run time : 238,IMDB rating : 8.2,Votes : 327721,Revenue USD : 198.68,"Director : Victor Fleming, George Cukor, Sam Wood","Cast : Clark Gable, Vivien Leigh, Thomas Mitchell, Barbara O'Neil",Summary : A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.
19,Title : The Secret in Their Eyes,Year : 2009,Run time : 129,IMDB rating : 8.2,Votes : 218045,Revenue USD : 6.39,Director : Juan José Campanella,"Cast : Ricardo Darín, Soledad Villamil, Pablo Rago, Carla Quevedo",Summary : A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.
20,Title : Some Like It Hot,Year : 1959,Run time : 121,IMDB rating : 8.2,Votes : 277968,Revenue USD : 25.0,Director : Billy Wilder,"Cast : Marilyn Monroe, Tony Curtis, Jack Lemmon, George Raft","Summary : After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
21,Title : To Be or Not to Be,Year : 1942,Run time : 99,IMDB rating : 8.2,Votes : 41220,Revenue USD : ,Director : Ernst Lubitsch,"Cast : Carole Lombard, Jack Benny, Robert Stack, Felix Bressart","Summary : During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy."
22,Title : Sherlock Jr.,Year : 1924,Run time : 45,IMDB rating : 8.2,Votes : 54589,Revenue USD : 0.98,Director : Buster Keaton,"Cast : Buster Keaton, Kathryn McGuire, Joe Keaton, Erwin Connelly","Summary : A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."
23,Title : Zindagi Na Milegi Dobara,Year : 2011,Run time : 155,IMDB rating : 8.2,Votes : 83527,Revenue USD : 3.11,Director : Zoya Akhtar,"Cast : Hrithik Roshan, Farhan Akhtar, Abhay Deol, Katrina Kaif",Summary : Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.
