,movie_name,movie_year,movie_runtime,imdb_ratings,number_votes,us_gross_millions,directors,cast,movie_description
0,Title : Inception,Year : 2010,Run time : 148,IMDB rating : 8.8,Votes : 2480407,Revenue USD : 292.58,Director : Christopher Nolan,"Cast : Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe","Summary : A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
1,Title : Spider-Man: Across the Spider-Verse,Year : 2023,Run time : 140,IMDB rating : 8.7,Votes : 282252,Revenue USD : ,"Director : Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","Cast : Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez","Summary : Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero."
2,Title : Interstellar,Year : 2014,Run time : 169,IMDB rating : 8.7,Votes : 2004599,Revenue USD : 188.02,Director : Christopher Nolan,"Cast : Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy","Summary : When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
3,Title : The Matrix,Year : 1999,Run time : 136,IMDB rating : 8.7,Votes : 1999957,Revenue USD : 171.48,"Director : Lana Wachowski, Lilly Wachowski","Cast : Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving","Summary : When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
4,Title : Star Wars: Episode V - The Empire Strikes Back,Year : 1980,Run time : 124,IMDB rating : 8.7,Votes : 1347971,Revenue USD : 290.48,Director : Irvin Kershner,"Cast : Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams","Summary : After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
5,Title : Star Wars: Episode IV - A New Hope,Year : 1977,Run time : 121,IMDB rating : 8.6,Votes : 1419263,Revenue USD : 322.74,Director : George Lucas,"Cast : Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness","Summary : Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
6,Title : Terminator 2: Judgment Day,Year : 1991,Run time : 137,IMDB rating : 8.6,Votes : 1146769,Revenue USD : 204.84,Director : James Cameron,"Cast : Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick","Summary : A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg."
7,Title : Alien,Year : 1979,Run time : 117,IMDB rating : 8.5,Votes : 924480,Revenue USD : 78.9,Director : Ridley Scott,"Cast : Sigourney Weaver, Tom Skerritt, John Hurt, Veronica Cartwright",Summary : The crew of a commercial spacecraft encounters a deadly lifeform after investigating an unknown transmission.
8,Title : The Prestige,Year : 2006,Run time : 130,IMDB rating : 8.5,Votes : 1403434,Revenue USD : 53.09,Director : Christopher Nolan,"Cast : Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine","Summary : After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
9,Title : Back to the Future,Year : 1985,Run time : 116,IMDB rating : 8.5,Votes : 1270201,Revenue USD : 210.61,Director : Robert Zemeckis,"Cast : Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover","Summary : Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
10,Title : Avengers: Endgame,Year : 2019,Run time : 181,IMDB rating : 8.4,Votes : 1221940,Revenue USD : 858.37,"Director : Anthony Russo, Joe Russo","Cast : Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","Summary : After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
11,Title : Aliens,Year : 1986,Run time : 137,IMDB rating : 8.4,Votes : 746294,Revenue USD : 85.16,Director : James Cameron,"Cast : Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser","Summary : Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
12,Title : Spider-Man: Into the Spider-Verse,Year : 2018,Run time : 117,IMDB rating : 8.4,Votes : 636019,Revenue USD : 190.24,"Director : Bob Persichetti, Peter Ramsey, Rodney Rothman","Cast : Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali",Summary : Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.
13,Title : Avengers: Infinity War,Year : 2018,Run time : 149,IMDB rating : 8.4,Votes : 1162456,Revenue USD : 678.82,"Director : Anthony Russo, Joe Russo","Cast : Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans",Summary : The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
14,Title : WALL·E,Year : 2008,Run time : 98,IMDB rating : 8.4,Votes : 1169574,Revenue USD : 223.81,Director : Andrew Stanton,"Cast : Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard","Summary : In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
15,Title : Eternal Sunshine of the Spotless Mind,Year : 2004,Run time : 108,IMDB rating : 8.3,Votes : 1050737,Revenue USD : 34.4,Director : Michel Gondry,"Cast : Jim Carrey, Kate Winslet, Tom Wilkinson, Gerry Robert Byrne","Summary : When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever."
16,Title : A Clockwork Orange,Year : 1971,Run time : 136,IMDB rating : 8.3,Votes : 863345,Revenue USD : 6.21,Director : Stanley Kubrick,"Cast : Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke","Summary : In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
17,Title : 2001: A Space Odyssey,Year : 1968,Run time : 149,IMDB rating : 8.3,Votes : 701764,Revenue USD : 56.95,Director : Stanley Kubrick,"Cast : Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter","Summary : After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins: a spacecraft manned by two men and the supercomputer HAL 9000."
18,Title : Star Wars: Episode VI - Return of the Jedi,Year : 1983,Run time : 131,IMDB rating : 8.3,Votes : 1097690,Revenue USD : 309.13,Director : Richard Marquand,"Cast : Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams","Summary : After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side."
19,Title : Metropolis,Year : 1927,Run time : 153,IMDB rating : 8.3,Votes : 181583,Revenue USD : 1.24,Director : Fritz Lang,"Cast : Brigitte Helm, Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge","Summary : In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."
20,Title : The Thing,Year : 1982,Run time : 109,IMDB rating : 8.2,Votes : 451330,Revenue USD : 13.78,Director : John Carpenter,"Cast : Kurt Russell, Wilford Brimley, Keith David, Richard Masur",Summary : A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
21,Title : Spider-Man: No Way Home,Year : 2021,Run time : 148,IMDB rating : 8.2,Votes : 838870,Revenue USD : 804.75,Director : Jon Watts,"Cast : Tom Holland, Zendaya, Benedict Cumberbatch, Jacob Batalon","Summary : With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man."
22,Title : Jurassic Park,Year : 1993,Run time : 127,IMDB rating : 8.2,Votes : 1039477,Revenue USD : 402.45,Director : Steven Spielberg,"Cast : Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough",Summary : A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
23,Title : V for Vendetta,Year : 2005,Run time : 132,IMDB rating : 8.2,Votes : 1158190,Revenue USD : 70.51,Director : James McTeigue,"Cast : Hugo Weaving, Natalie Portman, Rupert Graves, Stephen Rea","Summary : In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman."
24,Title : Mad Max: Fury Road,Year : 2015,Run time : 120,IMDB rating : 8.1,Votes : 1053509,Revenue USD : 154.06,Director : George Miller,"Cast : Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz","Summary : In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named Max."
25,Title : Blade Runner,Year : 1982,Run time : 117,IMDB rating : 8.1,Votes : 803795,Revenue USD : 32.87,Director : Ridley Scott,"Cast : Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos",Summary : A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.
26,Title : The Terminator,Year : 1984,Run time : 107,IMDB rating : 8.1,Votes : 903791,Revenue USD : 38.4,Director : James Cameron,"Cast : Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield","Summary : A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation."
27,Title : Logan,Year : 2017,Run time : 137,IMDB rating : 8.1,Votes : 807633,Revenue USD : 226.28,Director : James Mangold,"Cast : Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook","Summary : In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety."
28,Title : Stalker,Year : 1979,Run time : 162,IMDB rating : 8.1,Votes : 141085,Revenue USD : 0.23,Director : Andrei Tarkovsky,"Cast : Alisa Freyndlikh, Aleksandr Kaydanovskiy, Anatoliy Solonitsyn, Nikolay Grinko",Summary : A guide leads two men through an area known as the Zone to find a room that grants wishes.
29,Title : The Iron Giant,Year : 1999,Run time : 86,IMDB rating : 8.1,Votes : 217735,Revenue USD : 23.16,Director : Brad Bird,"Cast : Eli Marienthal, Harry Connick Jr., Jennifer Aniston, Vin Diesel",Summary : A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.
30,Title : Neon Genesis Evangelion: The End of Evangelion,Year : 1997,Run time : 87,IMDB rating : 8.1,Votes : 61088,Revenue USD : ,"Director : Hideaki Anno, Kazuya Tsurumaki","Cast : Megumi Ogata, Megumi Hayashibara, Yûko Miyamura, Kotono Mitsuishi",Summary : Concurrent theatrical ending of the TV series Neon Genesis Evangelion (1995).
31,Title : PK,Year : 2014,Run time : 153,IMDB rating : 8.1,Votes : 196584,Revenue USD : 10.62,Director : Rajkumar Hirani,"Cast : Aamir Khan, Anushka Sharma, Sanjay Dutt, Boman Irani",Summary : An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of there religious views on there people.
32,Title : Dune,Year : 2021,Run time : 155,IMDB rating : 8.0,Votes : 722737,Revenue USD : 108.33,Director : Denis Villeneuve,"Cast : Timothée Chalamet, Rebecca Ferguson, Zendaya, Oscar Isaac",Summary : A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.
33,Title : Blade Runner 2049,Year : 2017,Run time : 164,IMDB rating : 8.0,Votes : 628998,Revenue USD : 92.05,Director : Denis Villeneuve,"Cast : Harrison Ford, Ryan Gosling, Ana de Armas, Dave Bautista","Summary : Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
34,Title : Donnie Darko,Year : 2001,Run time : 113,IMDB rating : 8.0,Votes : 833296,Revenue USD : 1.48,Director : Richard Kelly,"Cast : Jake Gyllenhaal, Jena Malone, Mary McDonnell, Holmes Osborne","Summary : After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes."
35,Title : Guardians of the Galaxy,Year : 2014,Run time : 121,IMDB rating : 8.0,Votes : 1248062,Revenue USD : 333.18,Director : James Gunn,"Cast : Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana",Summary : A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.
36,Title : Her,Year : 2013,Run time : 126,IMDB rating : 8.0,Votes : 650527,Revenue USD : 25.57,Director : Spike Jonze,"Cast : Joaquin Phoenix, Amy Adams, Scarlett Johansson, Rooney Mara","Summary : In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need."
37,Title : The Avengers,Year : 2012,Run time : 143,IMDB rating : 8.0,Votes : 1437061,Revenue USD : 623.28,Director : Joss Whedon,"Cast : Robert Downey Jr., Chris Evans, Scarlett Johansson, Jeremy Renner",Summary : Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.
38,Title : The Martian,Year : 2015,Run time : 144,IMDB rating : 8.0,Votes : 898454,Revenue USD : 228.43,Director : Ridley Scott,"Cast : Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara","Summary : An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue."
39,Title : 12 Monkeys,Year : 1995,Run time : 129,IMDB rating : 8.0,Votes : 636997,Revenue USD : 57.14,Director : Terry Gilliam,"Cast : Bruce Willis, Madeleine Stowe, Brad Pitt, Joseph Melito","Summary : In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet."
40,Title : Akira,Year : 1988,Run time : 124,IMDB rating : 8.0,Votes : 198736,Revenue USD : 0.55,Director : Katsuhiro Ôtomo,"Cast : Mitsuo Iwata, Nozomu Sasaki, Mami Koyama, Tesshô Genda","Summary : A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics."
41,Title : Planet of the Apes,Year : 1968,Run time : 112,IMDB rating : 8.0,Votes : 188312,Revenue USD : 33.4,Director : Franklin J. Schaffner,"Cast : Charlton Heston, Roddy McDowall, Kim Hunter, Maurice Evans",Summary : An astronaut crew crash-lands on a planet where highly intelligent non-human ape species are dominant and humans are enslaved.
42,Title : Nausicaä of the Valley of the Wind,Year : 1984,Run time : 117,IMDB rating : 8.0,Votes : 177437,Revenue USD : 0.5,Director : Hayao Miyazaki,"Cast : Sumi Shimamoto, Mahito Tsujimura, Hisako Kyôda, Gorô Naya",Summary : Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.
43,Title : Solaris,Year : 1972,Run time : 167,IMDB rating : 8.0,Votes : 96146,Revenue USD : ,Director : Andrei Tarkovsky,"Cast : Natalya Bondarchuk, Donatas Banionis, Jüri Järvet, Vladislav Dvorzhetskiy",Summary : A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.
44,Title : G.O.R.A.,Year : 2004,Run time : 127,IMDB rating : 8.0,Votes : 65572,Revenue USD : ,Director : Ömer Faruk Sorak,"Cast : Cem Yilmaz, Özge Özberk, Ozan Güven, Safak Sezer",Summary : A slick young Turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of G.O.R.A.
45,Title : Guardians of the Galaxy Vol. 3,Year : 2023,Run time : 150,IMDB rating : 7.9,Votes : 335962,Revenue USD : ,Director : James Gunn,"Cast : Chris Pratt, Chukwudi Iwuji, Bradley Cooper, Pom Klementieff","Summary : Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful."
46,Title : E.T. the Extra-Terrestrial,Year : 1982,Run time : 115,IMDB rating : 7.9,Votes : 428253,Revenue USD : 435.11,Director : Steven Spielberg,"Cast : Henry Thomas, Drew Barrymore, Peter Coyote, Dee Wallace",Summary : A troubled child summons the courage to help a friendly alien escape from Earth and return to his home planet.
47,Title : Arrival,Year : 2016,Run time : 116,IMDB rating : 7.9,Votes : 741478,Revenue USD : 100.55,Director : Denis Villeneuve,"Cast : Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg",Summary : A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.
48,Title : Iron Man,Year : 2008,Run time : 126,IMDB rating : 7.9,Votes : 1101467,Revenue USD : 318.41,Director : Jon Favreau,"Cast : Robert Downey Jr., Gwyneth Paltrow, Terrence Howard, Jeff Bridges","Summary : After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil."
