,movie_name,movie_year,movie_runtime,imdb_ratings,number_votes,us_gross_millions,directors,cast,movie_description
0,Title : Dangal,Year : 2016,Run time : 161,IMDB rating : 8.3,Votes : 202932,Revenue USD : 12.39,Director : Nitesh Tiwari,"Cast : Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra",Summary : Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
1,Title : Children of Heaven,Year : 1997,Run time : 89,IMDB rating : 8.2,Votes : 78634,Revenue USD : 0.93,Director : Majid Majidi,"Cast : Mohammad Amir Naji, Amir Farrokh Hashemian, Bahare Seddiqi, Nafise Jafar-Mohammadi","Summary : After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
2,Title : Bhaag Milkha Bhaag,Year : 2013,Run time : 186,IMDB rating : 8.2,Votes : 70928,Revenue USD : 1.63,Director : Rakeysh Omprakash Mehra,"Cast : Farhan Akhtar, Deepak Singh Rawat, Japtej Singh, Divya Dutta","Summary : The truth behind the ascension of Milkha Singh, who was scarred by of the India-Pakistan partition."
3,Title : Paan Singh Tomar,Year : 2012,Run time : 135,IMDB rating : 8.2,Votes : 37435,Revenue USD : 0.04,Director : Tigmanshu Dhulia,"Cast : Irrfan Khan, Mahie Gill, Rajesh Abhay, Hemendra Dandotiya","Summary : The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement."
4,Title : Rocky,Year : 1976,Run time : 120,IMDB rating : 8.1,Votes : 612604,Revenue USD : 117.24,Director : John G. Avildsen,"Cast : Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers",Summary : A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.
5,Title : Ford v Ferrari,Year : 2019,Run time : 152,IMDB rating : 8.1,Votes : 441351,Revenue USD : 117.62,Director : James Mangold,"Cast : Matt Damon, Christian Bale, Jon Bernthal, Caitríona Balfe",Summary : American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.
6,Title : Raging Bull,Year : 1980,Run time : 129,IMDB rating : 8.1,Votes : 371059,Revenue USD : 23.38,Director : Martin Scorsese,"Cast : Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent","Summary : The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."
7,Title : Warrior,Year : 2011,Run time : 140,IMDB rating : 8.1,Votes : 489150,Revenue USD : 13.66,Director : Gavin O'Connor,"Cast : Tom Hardy, Nick Nolte, Joel Edgerton, Jennifer Morrison","Summary : The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
8,Title : Rush,Year : 2013,Run time : 123,IMDB rating : 8.1,Votes : 501707,Revenue USD : 26.95,Director : Ron Howard,"Cast : Daniel Brühl, Chris Hemsworth, Olivia Wilde, Alexandra Maria Lara",Summary : The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.
9,Title : Million Dollar Baby,Year : 2004,Run time : 132,IMDB rating : 8.1,Votes : 709555,Revenue USD : 100.49,Director : Clint Eastwood,"Cast : Hilary Swank, Clint Eastwood, Morgan Freeman, Jay Baruchel","Summary : Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond."
