,movie_name,movie_year,movie_runtime,imdb_ratings,number_votes,us_gross_millions,directors,cast,movie_description
0,Title : The Dark Knight,Year : 2008,Run time : 152,IMDB rating : 9.0,Votes : 2794638,Revenue USD : 534.86,Director : Christopher Nolan,"Cast : Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine","Summary : When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
1,Title : Mirror Game,Year : 2016,Run time : 147,IMDB rating : 9.0,Votes : 29169,Revenue USD : ,Director : Amitabh Reza Chowdhury,"Cast : Chanchal Chowdhury, Masuma Rahman Nabila, Partha Barua, Lutfur Rahman George","Summary : A struggling actor becomes a professional impostor, hired to impersonate people for financial gain, but as he delves deeper into his work he becomes embroiled in trouble that threatens to unravel his life."
2,Title : Inception,Year : 2010,Run time : 148,IMDB rating : 8.8,Votes : 2480407,Revenue USD : 292.58,Director : Christopher Nolan,"Cast : Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe","Summary : A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
3,Title : The Silence of the Lambs,Year : 1991,Run time : 118,IMDB rating : 8.6,Votes : 1503091,Revenue USD : 130.74,Director : Jonathan Demme,"Cast : Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine","Summary : A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
4,Title : Se7en,Year : 1995,Run time : 127,IMDB rating : 8.6,Votes : 1743768,Revenue USD : 100.13,Director : David Fincher,"Cast : Morgan Freeman, Brad Pitt, Kevin Spacey, Andrew Kevin Walker","Summary : Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
5,Title : The Departed,Year : 2006,Run time : 151,IMDB rating : 8.5,Votes : 1386883,Revenue USD : 132.38,Director : Martin Scorsese,"Cast : Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg",Summary : An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
6,Title : Parasite,Year : 2019,Run time : 132,IMDB rating : 8.5,Votes : 897401,Revenue USD : 53.37,Director : Bong Joon Ho,"Cast : Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong, Choi Woo-sik",Summary : Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
7,Title : The Prestige,Year : 2006,Run time : 130,IMDB rating : 8.5,Votes : 1403434,Revenue USD : 53.09,Director : Christopher Nolan,"Cast : Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine","Summary : After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
8,Title : Psycho,Year : 1960,Run time : 109,IMDB rating : 8.5,Votes : 702686,Revenue USD : 32.0,Director : Alfred Hitchcock,"Cast : Anthony Perkins, Janet Leigh, Vera Miles, John Gavin","Summary : A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother."
9,Title : Léon: The Professional,Year : 1994,Run time : 110,IMDB rating : 8.5,Votes : 1214645,Revenue USD : 19.5,Director : Luc Besson,"Cast : Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello","Summary : 12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
