,movie_name,movie_year,movie_runtime,imdb_ratings,number_votes,us_gross_millions,directors,cast,movie_description
0,Title : Saving Private Ryan,Year : 1998,Run time : 169,IMDB rating : 8.6,Votes : 1457188,Revenue USD : 216.54,Director : Steven Spielberg,"Cast : Tom Hanks, Matt Damon, Tom Sizemore, Edward Burns","Summary : Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
1,Title : Life Is Beautiful,Year : 1997,Run time : 116,IMDB rating : 8.6,Votes : 725846,Revenue USD : 57.6,Director : Roberto Benigni,"Cast : Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano","Summary : When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp."
2,Title : The Pianist,Year : 2002,Run time : 150,IMDB rating : 8.5,Votes : 883372,Revenue USD : 32.57,Director : Roman Polanski,"Cast : Adrien Brody, Thomas Kretschmann, Frank Finlay, Emilia Fox",Summary : A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
3,Title : Casablanca,Year : 1942,Run time : 102,IMDB rating : 8.5,Votes : 594101,Revenue USD : 1.02,Director : Michael Curtiz,"Cast : Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains",Summary : A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
4,Title : Grave of the Fireflies,Year : 1988,Run time : 89,IMDB rating : 8.5,Votes : 297886,Revenue USD : ,Director : Isao Takahata,"Cast : Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi, Yoshiko Shinohara",Summary : A young boy and his little sister struggle to survive in Japan during World War II.
5,Title : Inglourious Basterds,Year : 2009,Run time : 153,IMDB rating : 8.4,Votes : 1533680,Revenue USD : 120.54,Director : Quentin Tarantino,"Cast : Brad Pitt, Diane Kruger, Eli Roth, Mélanie Laurent","Summary : In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
6,Title : Apocalypse Now,Year : 1979,Run time : 147,IMDB rating : 8.4,Votes : 694835,Revenue USD : 83.47,Director : Francis Ford Coppola,"Cast : Martin Sheen, Marlon Brando, Robert Duvall, Frederic Forrest",Summary : A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
7,Title : Come and See,Year : 1985,Run time : 142,IMDB rating : 8.4,Votes : 91091,Revenue USD : ,Director : Elem Klimov,"Cast : Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius, Vladas Bagdonas","Summary : After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
8,Title : Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Year : 1964,Run time : 95,IMDB rating : 8.4,Votes : 508432,Revenue USD : 0.28,Director : Stanley Kubrick,"Cast : Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn","Summary : An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
9,Title : Das Boot,Year : 1981,Run time : 149,IMDB rating : 8.4,Votes : 259744,Revenue USD : 11.49,Director : Wolfgang Petersen,"Cast : Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann, Hubertus Bengsch",Summary : A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.
