,movie_name,movie_year,movie_runtime,imdb_ratings,number_votes,us_gross_millions,directors,cast,movie_description
0,"Title : The Good, the Bad and the Ugly",Year : 1966,Run time : 178,IMDB rating : 8.8,Votes : 792823,Revenue USD : 6.1,Director : Sergio Leone,"Cast : Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè",Summary : A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
1,Title : Django Unchained,Year : 2012,Run time : 165,IMDB rating : 8.5,Votes : 1644040,Revenue USD : 162.81,Director : Quentin Tarantino,"Cast : Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington","Summary : With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
2,Title : Once Upon a Time in the West,Year : 1968,Run time : 165,IMDB rating : 8.5,Votes : 342865,Revenue USD : 5.32,Director : Sergio Leone,"Cast : Henry Fonda, Charles Bronson, Claudia Cardinale, Jason Robards",Summary : A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
3,Title : Unforgiven,Year : 1992,Run time : 130,IMDB rating : 8.2,Votes : 427792,Revenue USD : 101.16,Director : Clint Eastwood,"Cast : Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris","Summary : Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid."""
4,Title : For a Few Dollars More,Year : 1965,Run time : 132,IMDB rating : 8.2,Votes : 268242,Revenue USD : 15.0,Director : Sergio Leone,"Cast : Clint Eastwood, Lee Van Cleef, Gian Maria Volontè, Mara Krupp",Summary : Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.
5,Title : The Treasure of the Sierra Madre,Year : 1948,Run time : 126,IMDB rating : 8.2,Votes : 130165,Revenue USD : 5.01,Director : John Huston,"Cast : Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett",Summary : Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
6,Title : Killers of the Flower Moon,Year : 2023,Run time : 206,IMDB rating : 8.1,Votes : 53692,Revenue USD : ,Director : Martin Scorsese,"Cast : Leonardo DiCaprio, Robert De Niro, Lily Gladstone, Jesse Plemons","Summary : When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery."
7,Title : The Man Who Shot Liberty Valance,Year : 1962,Run time : 123,IMDB rating : 8.1,Votes : 80443,Revenue USD : ,Director : John Ford,"Cast : James Stewart, John Wayne, Vera Miles, Lee Marvin",Summary : A senator returns to a Western town for the funeral of an old friend and tells the story of his origins.
8,Title : The Gold Rush,Year : 1925,Run time : 95,IMDB rating : 8.1,Votes : 116227,Revenue USD : 5.45,Director : Charles Chaplin,"Cast : Charles Chaplin, Mack Swain, Tom Murray, Henry Bergman","Summary : A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall."
9,Title : Sholay,Year : 1975,Run time : 162,IMDB rating : 8.1,Votes : 57879,Revenue USD : ,Director : Ramesh Sippy,"Cast : Sanjeev Kumar, Dharmendra, Amitabh Bachchan, Amjad Khan","Summary : After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit."
